"","Nativenetworkencryption","Brute-forceprotection","Enterprisedirectorycompatibility","Passwordcomplexityrules","Patchaccess","Rununprivileged","Audit","Resourcelimit","Separationofduties(RBAC)","SecurityCertification","Attribute-BasedAccessControl(ABAC)"
"4D","Yes(withSSL)","?","Yes","?","Yes","Yes","?","?","?","?","?"
"AdaptiveServerEnterprise","Yes(optional;topay)","Yes","Yes(optional?)","Yes","Partial(needtoregister;dependonwhichproduct)","Yes","Yes","Yes","Yes","Yes(EAL4+)","?"
"AdvantageDatabaseServer","Yes","No","No","No","Yes","Yes","No","No","Yes","?","?"
"DB2","Yes","?","Yes(LDAP,Kerberos...)","Yes","?","Yes","Yes","Yes","Yes","Yes(EAL4+)","?"
"EmpressEmbeddedDatabase","?","?","No","No","Yes","Yes","Yes","No","Yes","No","?"
"EXASolution","No","No","Yes(LDAP)","No","Yes","Yes","Yes","Yes","Yes","No","?"
"Firebird","Yes","Yes","Yes(Windowstrustedauthenification)","Yes(bycustomplugin)","Yes(nosecuritypage)","Yes","Yes","Yes","No","?","?"
"HSQLDB","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","?"
"H2","Yes","Yes","?","No","?","Yes","?","Yes","Yes","No","?"
"InformixDynamicServer","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes"
"LinterSQLRDBMS","Yes(withSSL)","Yes","Yes","Yes(lengthonly)","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MariaDB","Yes(SSL)","No","Yes(with5.2,butnotonWindowsservers)","Yes","Yes","Yes","?","?","?","No","?"
"MicrosoftSQLServer","Yes","?","Yes(MicrosoftActiveDirectory)","Yes","Yes","Yes","Yes(From2008)","Yes","Yes","Yes(EAL4+)","?"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","No(notrelevant,onlyfilepermissions)","No(notrelevant)","No(notrelevant)","No(notrelevant)","Yes","Yes(fileaccess)","Yes","Yes","No","?","?"
"MimerSQL","Yes","?","?","?","Yes","Yes(dependingonOS)","Yes","?","Yes","?","Yes"
"MySQL","Yes(SSLwith4.0)","No","Yes(with5.5,butonlyincommercialedition)","No","Partial(nosecuritypage)","Yes","?","?","?","Yes","?"
"OpenBaseSQL","Yes","?","Yes(OpenDirectory,LDAP)","No","?","?","?","?","?","?","?"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes(optional)","Yes(optional)","Yes","Yes(optional)","Yes(optional)","Yes","No","Yes(optional)"
"Oracle","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes(EAL2)","?"
"PervasivePSQL","Yes","?","No","No","Yes","Yes","Yes","No","No","No","?"
"PolyhedraDBMS","Yes(withSSL.Optional)","No","No","No","No","Yes","Yes","Yes","Yes","No","?"
"PostgreSQL","Yes","Yes","Yes(LDAP,Kerberos...)","Yes(withpasswordcheckmodule)","Yes","Yes","Yes(withpgauditextension)","Yes","Yes","Yes(EAL2+)","?"
"RaimaDatabaseManager","No","No","No","No","No","Yes","No","No","No","No","?"
"RDMServer","Yes","No","No","No","No","Yes","Yes","No","Yes","No","?"
"SAPHANA","?","?","?","?","?","?","?","?","?","?","?"
"solidDB","No","No","Yes","No","No","Yes","Yes","No","No","No","No"
"SQLAnywhere","Yes","?","Yes(Kerberos)","Yes","?","Yes","Yes","No","Yes","Yes(EAL2+asAdaptiveServerAnywhere)","?"
"SQLite","No(notrelevant,onlyfilepermissions)","No(notrelevant)","No(notrelevant)","No(notrelevant)","Partial(nosecuritypage)","Yes(fileaccess)","Yes","Yes","No","No","?"
"Teradata","Yes","No","Yes(LDAP,Kerberos...)","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes"
"","Nativenetworkencryption","Brute-forceprotection","Enterprisedirectorycompatibility","Passwordcomplexityrules","Patchaccess","Rununprivileged","Audit","Resourcelimit","Separationofduties(RBAC)","SecurityCertification","Attribute-BasedAccessControl(ABAC)"
