"Format","Languages","Ifnotfound"
"charinstring(char,pos,string[startpos:])","ALGOL68","returnsBOOL:TRUEorFALSE,andpositioninREFINTpos."
"instr(string,anychar«,startpos»)(char,cancontainmorethemonechar,inwhichcasethepositionofthefirstappearanceofanyofthemisreturned.)","FreeBASIC","returns0"
"strchr(string,char)","C,C++(char*only,returnspointertocharacter)","returnsNULL"
"std.string.find(string,dchar)","D","returns−1"
"string.find(char«,startpos»)","C++(STL)","returnsstd::string::npos"
"pos(string,char«,startpos»)","Seed7","returns0"
"strings.IndexRune(string,char)","Go","returns−1"
"string.indexOf(char«,startpos»)","Java,JavaScript","returns−1"
"string.IndexOf(char«,startpos«,charcount»»)","VB.NET,C#,WindowsPowerShell,F#","returns−1"
"(positioncharstring)","CommonLisp","returnsNIL"
"(char-indexcharstring)","ISLISP","returnsnil"
"List.elemIndexcharstring","Haskell(returnsJustindex)","returnsNothing"
"String.indexstringchar","OCaml","raisesNot_found"
"position=SCAN(string,set«,back»«,kind»)orposition=VERIFY(string,set«,back»«,kind»)","Fortran","returnszero"
"stringindexOf:charifAbsent:aBlockstringindexOf:charstringincludes:char","Smalltalk","evaluateaBlockwhichisaBlockClosure(oranyobjectunderstandingvalue)returns0returnstrueorfalse"
"index(string,char,startpos)","PL/I","returns0(positionsstartat1)"
"string.index(?char)","Ruby","returnsnil"
"strpos(string,char,startpos)","PHP","returnsfalse"
"string.indexOf(char«,startpos«,charcount»»)","Cobra","returns−1"
"string⍳char","APL","returns1+thelastpositioninstring"
"string.find(substring)","Rust","returnsNone"
