"Client","FTP","FTPoverSSH","SFTP","FTPS(FTPoverSSL)","FXP(Site2sitetransfer)","DAV/HTTP(S)","Compression","ModeZ/RemoteCompression","API/Commandlineavailable","ResumeDownload","Passivemode","ParallelTransfer","SegmentedDownloads"
"AbsoluteTelnet","No","No","Yes","No","No","No","Yes","Yes","?","?","?","?","?"
"ALFTP","Yes","No","No","Yes","No","No","No","?","?","?","?","?","?"
"BeyondCompare","Yes","No","Yes(Proonly)","Yes(Proonly)","No","Yes(Proonly)","Yes","Yes","Yes","Yes","Yes","?","?"
"ClassicFTP","Yes","No","No","Yes","No","No","No","?","?","?","Yes","?","?"
"Codeanywhere","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"CommanderOne","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","?","?"
"CoreFTP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?","?","Yes"
"CrossFTP","Yes","Yes(Proonly)","Yes(Proonly)","Yes(Proonly)","Yes(Proonly)","Yes(Proonly)","Yes","?","Yes","Yes","Yes","?","?"
"cURL","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes(Only)","Yes","Yes","?","?"
"CuteFTP","Yes","Yes","Yes","Yes","Yes","Yes(HTTP(S))","Yes","No","?","Yes","Yes","?","Yes"
"Cyberduck","Yes","No","Yes","Yes","No","Yes","No","Yes(SFTPonly)","Yes","Yes","Yes","?","?"
"DirectoryOpus","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","?","?"
"ExpanDrive(Mac)","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","?","?","?","?"
"ExpanDrive(Windows)","Yes","No","Yes","Yes","No","No","?","No","?","?","?","?","?"
"FarManager","Yes","Yes","Yes","Yes","?","Yes","No","?","?","Yes","Yes","?","?"
"Fetch","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","?","?"
"FileZilla","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes(basic)","Yes","Yes","?","No"
"FireFTP","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","?","?"
"FlashFXP","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","?","?"
"FlingFTP","Yes","No","No","Yes","No","No","No","Yes","Yes","?","?","?","?"
"ForkLift","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","?"
"FTPClient","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","?","?","?"
"FTPCommander","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?","?","?"
"FTPExplorer","Yes","No","No","No","?","?","No","?","?","?","?","?","?"
"FTPVoyager","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?"
"Fugu","No","No","Yes","No","No","No","No","?","?","?","?","?","?"
"gFTP","Yes","Yes","Yes","Yes(controlconnectiononly)","Yes","?","No","?","Yes","?","?","?","?"
"Interarchy","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","Yes","Yes","?","?"
"LeechFTP","Yes","No","No","No","No","No","No","?","?","?","?","?","?"
"lftp","Yes","Yes","Yes","Yes","Yes","Yes(Partial)","No","No","Yes","Yes","?","?","Yes"
"Macfusion","Yes","?","Yes","No","?","?","?","?","?","?","?","?","?"
"Macfusion","Yes","?","Yes","No","?","?","?","?","?","?","?","?","?"
"NcFTP","Yes","No","No","?","?","?","No","?","Yes","?","Yes","?","?"
"PSFTP(PuTTY)","No","No","Yes","No","No","No","No","No","Yes","Yes","?","?","?"
"Rclone","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"SecureFTP","Yes","No","No","Yes","No","No","Yes","Yes","Yes","?","?","?","?"
"SmartFTP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?","Yes"
"Steed","Yes","No","Yes","Yes","No","No","No","No","No","?","Yes","?","?"
"SysaxFTPAutomation","Yes","No","Yes","Yes","No","No","Yes","No","Yes(scriptandcommandline)","?","?","?","?"
"TotalCommander","Yes","Yes","Yes(plugin)","Yes","Yes","Yes(plugin)","Yes","?","Yes","Yes","Yes","?","?"
"Transmit","Yes","No","Yes","Yes","Yes","Yes","No","?","Yes(AppleScript)","Yes","Yes","?","?"
"WebDrive","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(SFTP)","Yes","Yes","Yes","?","?"
"Windows7(ftp.exe)","Yes","No","No","No","No","No","No","No","No","?","No","?","?"
"WinSCP","Yes","Yes","Yes","Yes","No","Yes","Yes(SFTPonly)","Yes(SCPcommand)","Yes","Yes","Yes","Yes","No"
"WISE-FTP","Yes","No","Yes","Yes","Yes","No","Yes","Yes","?","?","?","?","?"
"WS_FTP","Yes","Yes(Proonly)","Yes(Proonly)","Yes","Yes(Proonly)","Yes","Yes(Proonly)","No","Yes(Proonly)","Yes(Proonly)","Yes","?","?"
"YummyFTP","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes(AppleScript)","Yes","Yes","?","?"
"Client","FTP","FTPoverSSH","SFTP","FTPS(FTPoverSSL)","FXP(Site2sitetransfer)","DAV/HTTP(S)","Compression","ModeZ/RemoteCompression","API/Commandlineavailable","ResumeDownload","Passivemode","ParallelTransfer","SegmentedDownloads"
