"Processor","Seriesnomenclature","Codename","Productiondate","Featuressupported(instructionset)","Clockrate","Socket","Fabri-cation","TDP","Cores(number)","Busspeed","CacheL1","CacheL2","CacheL3","Overclockcapable"
"4004","N/A","N/A","1971-Nov15","N/A","740kHz","DIP","10-micron","","","2","N/A","N/A","N/A",""
"8008","N/A","N/A","1972-Aprilgood","N/A","200kHz-800kHz","DIP","10-micron","","1","200kHz","N/A","N/A","N/A",""
"8080","N/A","N/A","1974-April","N/A","2MHz-3.125MHz","DIP","6-micron","","1","4MHz","N/A","N/A","N/A",""
"8085","N/A","N/A","1976-March","N/A","3MHz,5MHz,6MHz","DIP","3-micron","","1","2MHz","N/A","N/A","N/A",""
"8086","N/A","N/A","1978-June15","N/A","10MHz,8MHz,5MHz","DIP","3-micron","","1","10MHz,8MHz,5MHz","N/A","N/A","N/A",""
"8088","N/A","N/A","1979-June","N/A","8MHz,5MHz","DIP","4-micron","","1","8MHz,5MHz","N/A","N/A","N/A",""
"80286","N/A","N/A","1982-Feb","N/A","16MHz,10MHz,6MHz","DLPP","1.9-micron","","1","22MHz,10MHz,6MHz","N/A","N/A","N/A",""
"i80386","DX,SX,SL","N/A","1985-1990","N/A","33MHz,25MHz,20MHz,16MHz","DLPP","1-1.5-micron","","1","33MHz,25MHz,20MHz,16MHz","N/A","N/A","N/A",""
"i80486","DX,SX,DX2,DX4,SL","N/A","1985-1999","N/A","25MHz-100MHz","Socket1,Socket2,Socket3","1-0.6-micron","","1","25MHz-50MHz","8KiB-16KiB","N/A","N/A",""
"IntelPentium","N/A","P5,P54C,P54CTB,P54CS","1993-1999","","65MHz-250MHz","Socket2,Socket3,Socket4,Socket5,Socket7","800nm-350nm","Unknown","1","50MHz-66MHz","16KiB","N/A","N/A",""
"IntelPentiumMMX","N/A","P55C,Tillamook","1996-1999","","120MHz-300MHz","Socket7","350nm-250nm","Unknown","1","60MHz-66MHz","32KiB","N/A","N/A",""
"IntelAtom","Z5xx,Z6xx,N2xx,2xx,3xx,N4xx,D4xx,D5xx,N5xx,D2xxx,N2xxx","Diamondville,Pineview,Silverthorne,Lincroft,Cedarview,Medfield,CloverTrail","2008-2009(asCentrinoAtom)2008–present(asAtom)","","800MHz-2.13GHz","SocketPBGA437,SocketPBGA441,Socketmicro-FCBGA8559","32nm,45nm","0.65W-13W","1,2or4","400MHz,533MHz,667MHz,2.5GT/s","56KiBpercore","512KiB-1MiB","N/A",""
"IntelCeleron","3xx,4xx,5xx","Banias,CedarMill,Conroe,Coppermine,Covington,Dothan,Mendocino,Northwood,Prescott,Tualatin,Willamette,Yonah,Merom,Penryn,Arrandale,SandyBridge,IvyBridge,Haswell,Broadwell,BayTrail-M,Braswell,SkylakeGoldenCove","1998–present","","266MHz-3.6GHz","Slot1,Socket370,Socket478,Socket479,Socket495,LGA775,SocketM,SocketP,FCBGA6,μFC-BGA956,BGA479,SocketG1,BGA-1288,SocketG2,BGA-1023,SocketG3,BGA-1168,BGA-1364,BGA-1168,FC-BGA1170,BGA1356,LGA1156,LGA1155,FC-BGA1170,LGA1150,LGA1151,BGA1440","Intel7,14nm,22nm,32nm,45nm,65nm,90nm,130nm,180nm,250nm","4W-86W","1,2or4","66MHz,100MHz,133MHz,400MHz,533MHz,800MHz","8KiB-64KiBpercore","0KiB-1MiB","0KiB-2MiB",""
"IntelPentiumPro","52x","P6","1995-1998","","150MHz-200MHz","Socket8","350nm,500nm","29.2W-47W","1","60MHz,66MHz","16KiB","256KiB,512KiB,1024KiB","N/A",""
"PentiumII","52x","Klamath,Deschutes,Tonga,Dixon","1997-1999","","233MHz-450MHz","Slot1,MMC-1,MMC-2,Mini-Cartridge","250nm,350nm","16.8W-38.2W","1","66MHz,100MHz","32KiB","256KiB-512KiB","N/A",""
"PentiumIII","52x,53x","Katmai,Coppermine,Tualatin","1999-2003","","450MHz-1.4GHz","Slot1,Socket370","130nm,180nm,250nm","17W-34.5W","1","100MHz,133MHz","32KiB","256KiB-512KiB","N/A",""
