"English","StandardMalay","Indonesian"
"abolition","pemansuhan","1.abolisi,2.penghapusan"
"abortion","pengguguran","1.aborsi,2.pengguguran(ofafetus)"
"abroad","luarnegara","luarnegeri"
"accessibility","1.kebolehcapaian,2.ketercapaian","1.keterjangkauan,2.ketercapaian,aksesibilitas"
"account(bank,bills)","akaun","1.rekening(fromDutch–usedinbanksandhotels),2.akun(usedforallmeaningsofaccountapartfrombankaccount)"
"accountability","kebertanggungjawapan,akauntabliti","akuntabilitas,pertanggungjawaban"
"accountant","akauntan","akuntan"
"accounting","perakaunan","akuntansi"
"accurate","tepat","1.tepat,2.akurat(influencedbyDutchaccuraat)"
"administration","pentadbiran","administrasi(FromDutchpronunciationofadministratie)"
"after","1.selepas,2.setelah","1.setelah(alsousedinMalaytoindicateconsecutiveactions),2.sesudah,selepas"
"afternoon","petang","1.sore,2.petang"
"agent","1.ejen,2.agen","agen"
"airforce","tenteraudara","angkatanudara"
"airplane","kapalterbang","pesawatterbang"
"airport","lapanganterbang('airfield'inIndonesian;similartoDutchvliegveld)","bandarudara(loantranslationoftheDutchtermluchthaven,commonlyabbreviatedasbandara),lapanganterbang"
"Alexandria","Iskandariah","Alexandria,Iskandariyah"
"Algeria","Algeria","Aljazair(fromArabic:al-Jazā'ir–الجزائر)"
"Algiers","Algiers","Aljir(fromAlgerianArabic:dzayr–دْزَايرْ)"
"alliance","perikatan,persekutuan,pakatan","aliansi(influencedbyDutchalliantie),persekutuan"
"alloy","pancalogam,aloi","logampaduan,logamcampuran,aloi"
"apartment","pangsapuri,rumahpangsa,rumahkondo(onlyfor'condominium')","apartemen(influencedbyDutchappartement),rumahsusun(rusun)(publichousingforpoorfamilies),kondominium"
"appeal(legal)","rayuan","banding,apel(rare)"
"application(software)","perisianpenggunaan,aplikasi","perangkatlunak,aplikasi"
"architect","arkitek","arsitek(frompronunciationofDutcharchitect)"
"architecture","senibina","arsitektur(influencedbyDutcharchitectuur)"
"archive","arkib","arsip(fromDutcharchief)"
"area","kawasan","daerah,area,kawasan"
"armedforces","tentera","tentara,angkatanbersenjata"
"army","tenteradarat","angkatandarat"
"assembly","majlis,perhimpunan(fromtherootverb'himpun'meaning'togather/assemble')","majelis,himpunan,perhimpunan"
"assets","aset","harta,aset,aktiva(fromDutchactiva)"
"association","persatuan","asosiasi(fromDutchassociatie),persatuan,perkumpulan"
"assumption","andaian,anggapan","asumsi,anggapan,dugaan"
"astronaut","angkasawan","astronaut,antariksawan"
"Athens","Athens","Athena(influencedbyDutchAtheneorfromnativeGreekAthina)"
"athletics(sport)","olahraga('sport'inIndonesian)","atletik"
"auction","lelongfromPortugueseleilão","lelangalsofromPortugueseleilão"
"August","Ogos","AgustusfromDutchaugustus"
"auntie","makcik(alsousedinRiauMalaydialectinIndonesia),emaksaudara,ibusaudara","bibi,tantefromDutch"
"autobiography","autobiografi","autobiografi,otobiografiisanonstandardform"
"automatic","automatik(formerlyotomatik)","otomatis(derivedfromDutchpronunciationofautomatisch)"
"autonomy","autonomi","otonomi(self-governing)"
"awkward","janggal,kekok(ofgesture)","aneh,janggal,canggung,kikuk(ofgesture)"
