"English","Irish","ScottishGaelic","Notes"
"Gael","Gael","Gàidheal","Pre1950sGaedhealinIrish"
"Scotland","Alba,Albain","Alba",""
"Ireland","Éire,Éirinn","Èirinn,Èire",""
"day","lá","latha,là",""
"night","oíche","oidhche","Pre1950soidhcheinIrish"
"inside","isteach","a-steach",""
"school","scoil","sgoil","Pre1950ssgoil/scoilinIrish"
"child","páiste/leanbh","pàiste/leanabh",""
"without","gan","gun",""
"authority","údarás","ùghdarras","Pre1950sughdarásinIrish"
"office","oifig","oifis",""
"star","réalt(a)","reul","Pre1950sréalt(a),reult(a)inIrish"
"hotel","óstán,teach/tighósta","taigh-òsda","Pre1950sóstán/ósdán,teach/tighósta/ósdainIrish"
"house","teach(nom-acc),tigh(dat);Munstertigh","taigh","InbiblicalGaelictigh"
"town","baile","baile",""
"news","nuacht;Ulsternuaidheacht","naidheachd",""
"open","oscail","fosgail","AlsofoscailinUlsterIrish"
"year","bliain","bliadhna","Pre-1950sbliadhaininIrish.Theformbliadhna(blianatoday)isusedasaspecialpluralformfollowingnumerals;theregularpluralisblianta).SomeeasternScottishGaelicdialectsusetheformbliadhn."
"radio","raidió","radio","AlsoréidióandrèidioinspokenIrishandScottishGaelic"
"report","aithris","aithris",""
"king","rí","rìgh","Pre-1950sgenitiveríoghanddativeríghinIrish"
"government","rialtas","riaghaltas","Pre-1950sriaghaltasinIrish"
"parliament","parlaimint","pàrlamaid",""
"island","oileán,inis","eilean,inis",""
"river","abhainn,Munsterabha,dativeabhainn","abhainn",""
"bridge","droichead","drochaid",""
"water","uisce","uisge",""
"whisk(e)y","uiscebeatha","uisge-beatha",""
"God","Dia","Dia",""
"church","eaglais","eaglais","InIrish,eaglaisisaRomanCatholichouseofworship;aProtestanthouseofworshipiscalledateampall(temple).Séipéalisalsousedasitcanmeanchapelaswell."
"prayer","urnaí","ùrnaigh","AlsournaigheinIrish."
"black","dubh","dubh",""
"white","bán","bàn",""
