"Model","Processor","Memory","Display","Inputmethod","Stack","Programminglanguages","Computeralgebrasystem","Characterset","Connectivity","Powersupply","Releaseyear","Predecessors","Successors"
"HPPrimeG2(2AP18AA)","528MHzNXPi.MX6ULLMCIMX6Y2(CortexA7core,ARMv7architecture)","256MBRAM,512MBflash","320×240pixel16-bitcolormulti-touchTFTLCDwithbacklight","Algebraic,EntryRPN","Fixed(128level)","PPL","Xcas/Giac-based","Unicode","USB(Micro-AB)USB-OTG","USB-rechargeable3.7V/2000mAh/7.4WhLi-Ion,USB","2018","HPPrimeG1","None"
"HPPrimeG1(NW280AA,G8X92AA)","400MHzSamsungS3C2416XH-40(ARM926EJcore,ARMv5architecture)","32MBRAM,256MBflash","320×240pixel16-bitcolormulti-touchTFTLCDwithbacklight","Algebraic,EntryRPN","Fixed(128level)","PPL","Xcas/Giac-based","Unicode","USB(Micro-AB)(USB-OTGonlywithG8X92AAmodel)","USB-rechargeable3.7V/1500mAh/5.55WhLi-Ion(compatible:SamsungGalaxyS32200mAh),USB","2013","HP39gII,(HP50g)","HPPrimeG2"
"HP50g(F2229A,NW240AA)","75MHz(203MHz)SamsungS3C2410A(ARM920Tcore,ARMv4Tarchitecture)","512KBRAM,2MBflash,expandablevia2GBSDcard","131×80pixelmonochromeLCD","EntryRPN,Algebraic","Dynamic","RPL,AlgebraicRPL","Erable-based","8-bitRPLcharacterset(witheurosign)","USB(Mini-B),IrDA,1×4-pin3.3VTTLserial(RS-232viaactiveconverter)","4×1.5V(6V)AAA,1×3VCR2032,USB","2006–2015","hp49g+","(HPPrime)"
"hp49g+(F2228A)","75MHz(203MHz)SamsungS3C2410X01(ARM920Tcore,ARMv4Tarchitecture)","512KBRAM,2MBflash,expandablevia2GBSDcard","131×80pixelmonochromeLCD","EntryRPN,Algebraic","Dynamic","RPL,AlgebraicRPL","Erable-based","8-bitRPLcharacterset(witheurosign)","USB(Mini-B),IrDA","3×1.5V(4.5V)AAA,1×3VCR2032","2003–2006","HP49G","HP50g"
"HP48gII(F2226A)","48MHz(203MHz)SamsungS3C2410X01(ARM920Tcore,ARMv4Tarchitecture)","128KBRAM(256KBRAM-2007modelonly),notflashable","131×64pixelmonochromeLCD","EntryRPN,Algebraic","Dynamic","RPL,AlgebraicRPL","Erable-based","8-bitRPLcharacterset(witheurosign)","(USB(Mini-B)-2007modelonly),IrDA,1×4-pin3.3VTTLserial(RS-232viaactiveconverter)","3×1.5V(4.5V)AAA(4×1.5V(6V)AAA-2007modelonly),1×3VCR2032,USB(2007modelonly)","2003","HP48G+","HP49g+"
"HP49G(F1633A,F1896A)","4MHzYorke(Saturn1LT8core)","512KBRAM,2MBflash","131×64pixelmonochromeLCD","EntryRPN,Algebraic","Dynamic","RPL,AlgebraicRPL","Erable-based","8-bitRPLcharacterset(witheurosign)","2×5-pinRS-232","3×1.5V(4.5V)AAA","1999–2003","HP48GX,HP48G+","hp49g+"
"HP48G+(F1630A,F1894A)","4MHzYorke(Saturn1LT8core)","128KBRAM,notflashable","131×64pixelmonochromeLCD","EntryRPN","Dynamic","RPL","Rudimentary","8-bitRPLcharacterset","1×4-pinRS-232,HPSIR","3×1.5V(4.5V)AAA","1998–2003","HP48G","HP49G"
"HP48G","3.68-4MHzYorke(Saturn1LT8core)","32KBRAM,notflashable","131×64pixelmonochromeLCD","EntryRPN","Dynamic","RPL","Rudimentary","8-bitRPLcharacterset","1×4-pinRS-232,HPSIR","3×1.5V(4.5V)AAA","1993–2003","HP48S","HP48G+,HP49G"
"HP48GX(F1895A)","4MHzYorke(Saturn1LT8core)","128KBRAM,expandablevia128KBand4MBmax.cardslots,notflashable","131×64pixelmonochromeLCD","EntryRPN","Dynamic","RPL","Rudimentary","8-bitRPLcharacterset","1×4-pinRS-232,HPSIR","3×1.5V(4.5V)AAA","1993–2003","HP48SX","HP49G"
