"Format","Languages"
"UCase(string)","VB"
"ucase(string)","FreeBASIC"
"toupper(string)","AWK(changesstring)"
"uc(string)","Perl,Raku"
"string.uc","Raku"
"toupper(char)","C(operatesononecharacter)"
"for(size_ti=0,len=strlen(string);i<len;i++)string[i]=toupper(string[i]);for(char*c=string;*c!='\0';c++)*c=toupper(*c);","C(string/chararray)"
"std.string.toUpper(string)","D"
"transform(string.begin(),string.end(),result.begin(),toupper)","C++"
"uppercase(string)","ObjectPascal(Delphi)"
"upcase(char)","ObjectPascal(Delphi)(operatesononecharacter)"
"strtoupper(string)","PHP"
"upper(string)","Seed7"
"echo""string""|tr'a-z''A-Z'","Unix"
"translate(string),orUPPERvariables,orPARSEUPPERVARSrcVarDstVar","Rexx"
"string.upper()","Python"
"upcase(string)","PickBasic"
"string.upcase","Ruby"
"strings.ToUpper(string)","Go"
"(string-upcasestring)","Scheme,CommonLisp"
"String.uppercasestring","OCaml"
"String.mapChar.toUpperstring","StandardML"
"mapChar.toUpperstring","Haskell"
"string.toUpperCase()","Java,JavaScript"
"to_upper(string)","Erlang"
"string.ToUpper()","VB.NET,C#,WindowsPowerShell,F#"
"string.uppercaseString","Objective-C(NSString*only),Swift(Foundation)"
"string.upper(string)(string):upper()","Lua"
"stringasUppercase","Smalltalk"
"UPPER(string)","SQL"
"ToUpperCase[string]","Mathematica"
"«FUNCTION»UPPER-CASE(string)","COBOL"
"string.toUpper","Cobra"
"stringtoupperstring","Tcl"
"string.to_uppercase()","Rust"
