"Name","Creates?","Modifies?","Mounts?","Writes/Burns?","Extracts?","Inputformat","Outputformat","OS","License"
"7-Zip","Yes","No","No","No","Yes","CramFS,DMG,FAT,HFS,MBR,NTFS,ISO,SquashFS,UDF,VHD,WIM","WIM","Windows,Linux,ClassicMacOS","Freesoftware(GPL)"
"AcetoneISO","Yes","No","Yes","Yes","Yes","CD,DVD,ISO,BIN,MDF+MDS,IMG,NRG,CUE,TOC,DMG","CD,DVD,ISO,BIN","Linux","Freesoftware(GPL)"
"AcronisTrueImage","Yes","No","Yes","Yes","Yes","TIB,VHD","TIB,VHD","Windows","Shareware"
"Alcohol120%","Yes","No","Yes","Yes","No","ISO,B5T,B6T,BWT,CCD,CDI,BIN+CUE,MDF+MDS,NRG,ISZ","MDF+MDS,ISO","Windows","Trialware"
"Alcohol52%FE","Yes","No","Yes","No","No","ISO","N/A","Windows","Adware"
"AnyDVDHD","Yes","No","No","No","No","N/A","ISO","Windows","Shareware"
"ArchiveManager","No","No","No","No","Yes","ISO","N/A","Unix-like","Freesoftware(GPL)"
"AshampooBurningStudio","Yes","No","No","Yes","No","ISO,BIN+CUE","ISO,BIN+CUE","Windows","Shareware"
"BlindWrite","Yes","No","No","Yes","No","B5T,B6T,BWA,BWI,BWS,BWT,BIN+CUE,ISO,MDF+MDS","B5T,B6T,BWA,BWI,BWS,BWT,BIN+CUE,ISO,MDF+MDS","Windows","Shareware"
"Brasero","No","No","No","Yes","No","ISO,CUE","CD,DVD","Linux","Freesoftware(GPL)"
"Burnatonce","No","No","No","Yes","No","ISO,CUE,TOC","N/A","Windows","Freeware"
"CDBurnerXP","Yes","No","No","Yes","No","ISO,MDF+MDS,NRG,BIN+CUE","ISO,MDF+MDS","Windows","Freeware"
"CDemu","Yes","No","Yes","Yes","Yes","CSO,ECM,GBI,GZ,XZ,ISZ,DMG,ISO,UDF,NRG,CDI,CCD,SUB,IMG,BIN+CUE,TOC,B5T+B5I,B6T+B6I,MDF+MDS,MDX,CIF,C2D,DAA","ISO,TOC","Linux","Freesoftware(GPLv2)"
"genisoimage","Yes","No","No","No","No","N/A","?","Linux,Unix","Freesoftware(GPL)"
"isoinfo","No","No","No","No","Yes","?","N/A","Unix,Linux,AmigaWindows,macOS","Freesoftware(GPL)"
