"Driver","802.11","Businterface","WEP","WPA","WPA2","Monitormode","Mastermode","Ad-Hocmode"
"acx","802.11a,802.11b,802.11g","Cardbus,PCI","Yes","No","No","Yes","Yes","Yes"
"an","802.11b","PCCard,PCI,ISA","Yes","No","No","Yes","No","Yes"
"ath","802.11a,802.11b,802.11g","Cardbus,PCI","Yes","Yes","Yes","Yes","Yes","Yes"
"athn","802.11a,802.11b,802.11g,802.11n","Cardbus,PCI-E,MiniPCIE","Yes","Yes","Yes","Yes","Yes","No"
"atu","802.11b","USB","Yes","No","No","No","No","Yes"
"atw","802.11b","Cardbus,PCI","No","No","No","No","No","Yes"
"bwi","802.11b,802.11g","Cardbus,PCI","Yes","Yes","Yes","Yes","No","No"
"cnw","N/A","PCCard","No","No","No","No","No","No"
"ipw","802.11b","PCI","Yes","Yes","Yes","Yes","No","Yes"
"iwi","802.11a,802.11b,802.11g","PCI","Yes","Yes","Yes","Yes","No","Yes"
"iwn","802.11a,802.11b,802.11g,802.11n","PCI-E,MiniPCIE","Yes","Yes","Yes","Yes","No","No"
"iwm","802.11a,802.11b,802.11g,802.11n","PCI-E,MiniPCIE","Yes","Yes","Yes","Yes","No","No"
"malo","802.11b,802.11g","Cardbus,PCCard,PCI","Yes","Yes","Yes","Yes","No","No"
"otus","802.11a,802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"pgt","802.11a,802.11b,802.11g","Cardbus,PCI","Yes","No","No","Yes","Yes","Yes"
"ral","802.11a,802.11b,802.11g","Cardbus,PCI,MiniPCI","Yes","Yes","Yes","Yes","Yes","Yes"
"ray","N/A","PCCard","No","No","No","No","No","Yes"
"rtw","802.11b","Cardbus,PCI","Yes","No","No","Yes","Yes","Yes"
"rtwn","802.11b,802.11g","MiniPCIE","Yes","Yes","Yes","Yes","No","No"
"rum","802.11a,802.11b,802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"run","802.11a,802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"uath","802.11a,802.11b,802.11g","USB","Yes","No","No","Yes","No","No"
"upgt","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"ural","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"urtw","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"urtwn","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"wi","802.11b","PCCard,PCI,USB","Yes","No","No","No","Yes","Yes"
"wpi","802.11a,802.11b,802.11g","PCI","Yes","Yes","Yes","Yes","No","No"
"zyd","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
