"","Range","Hash","Composite(Range+Hash)","List","Expression","RoundRobin"
"4thDimension","?","?","?","?","?","?"
"ADABAS","?","?","?","?","?","?"
"AdaptiveServerEnterprise","Yes","Yes","No","Yes","?","?"
"AdvantageDatabaseServer","No","No","No","No","?","?"
"Altibase","Yes","Yes","No","Yes","?","?"
"ApacheDerby","No","No","No","No","?","?"
"ClustrixDB","Yes","No","No","No","No","?"
"CUBRID","Yes","Yes","No","Yes","?","?"
"IBMDB2","Yes","Yes","Yes","Yes","Yes","?"
"EmpressEmbeddedDatabase","No","No","No","No","?","?"
"EXASolution","No","Yes","No","No","No","?"
"Firebird","No","No","No","No","?","?"
"HSQLDB","No","No","No","No","?","?"
"H2","No","No","No","No","?","?"
"InformixDynamicServer","Yes","Yes","Yes","Yes","Yes","Yes"
"Ingres","Yes","Yes","Yes","Yes","?","?"
"InterBase","No","No","No","No","?","?"
"LinterSQLRDBMS","No","No","No","No","No","?"
"MariaDB","Yes","Yes","Yes","Yes","?","?"
"MaxDB","No","No","No","No","?","?"
"MicrosoftAccess(JET)","No","No","No","No","?","?"
"MicrosoftVisualFoxpro","No","No","No","No","?","?"
"MicrosoftSQLServer","Yes","viacomputedcolumn","viacomputedcolumn","Yes","viacomputedcolumn","?"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","No","No","No","No","?","?"
"MimerSQL","No","No","No","No","No","?"
"MonetDB","Yes","No","No","No","Yes","?"
"MySQL","Yes","Yes","Yes","Yes","?","?"
"OpenBaseSQL","?","?","?","?","?","?"
"Oracle","Yes","Yes","Yes","Yes","viaVirtualColumns","?"
"OracleRdb","Yes","Yes","?","?","?","?"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes","Yes","?"
"PervasivePSQL","No","No","No","No","No","?"
"PolyhedraDBMS","No","No","No","No","No","?"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","?"
"RaimaDatabaseManager","Yes","Yes","Yes","No","?","?"
"RDMServer","No","No","No","No","?","?"
"SAPHANA","Yes","Yes","Yes","Yes","Yes","?"
"solidDB","Yes","No","No","No","?","?"
"SQLAnywhere","No","No","No","No","?","?"
"SQLite","No","No","No","No","?","?"
"Teradata","Yes","Yes","Yes","Yes","?","?"
"UniVerse","Yes","Yes","Yes","Yes","?","?"
"","Range","Hash","Composite(Range+Hash)","List","Expression","RoundRobin"
