"Calculator","TI-BASIC","Nativecode","Lua","Python"
"TI-73,TI-73Explorer","Yes","Yes","No","No"
"TI-80","Yes","Onlyusingexploits","No","No"
"TI-81","Yes","Onlyusingexploits","No","No"
"TI-82","Yes","Onlyusingexploits","No","No"
"TI-83","Yes","Yes","No","No"
"TI-83Plus","Yes","Yes","No","No"
"TI-83PlusSilverEdition","Yes","Yes","No","No"
"TI-83PremiumCE","Yes","Variesbyfirmware","No","OnlywithaTI-Pythonadapter"
"TI-83PremiumCEEditionPython","Yes","Variesbyfirmware","No","Yes"
"TI-84Plus","Yes","Yes","No","No"
"TI-84PlusSilverEdition","Yes","Yes","No","No"
"TI-84PlusCSilverEdition","Yes","Yes","No","No"
"TI-84PlusCE","Yes","Variesbyfirmware","No","No"
"TI-84PlusCE(-T)PythonEdition","Yes","Variesbyfirmware","No","Yes"
"TI-85","Yes","Onlyusingexploits","No","No"
"TI-86","Yes","Yes","No","No"
"TI-89","Yes","Yes","No","No"
"TI-89Titanium","Yes","Yes","No","No"
"TI-92,TI-92II","Yes","Onlyusingexploits","No","No"
"TI-92Plus","Yes","Yes","No","No"
"Voyage200","Yes","Yes","No","No"
"TI-Nspire,TI-NspireCAS","Yes","Onlyusingexploits","Yes","No"
"TI-NspireCX,TI-NspireCXCAS","Yes","Onlyusingexploits","Yes","No"
"TI-NspireCXII,TI-NspireCXCASII","Yes","Onlyusingexploits","Yes","Yes"
