"Manager","CopyMusic","CopyVideos","CopySmartPlaylists","CopyAlbumArtwork","ExtractDRM-FreeMusic","ExtractDRM-FreeVideos","ExtractPlaycounts","ExtractPlaylists","CopyContenttoiPod"
"Amarok","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No"
"Banshee","Yes","?","Yes","Yes","Yes","No","Yes","?","Yes"
"Clementine","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"EphPod","Yes","?","Yes","No","Yes","No","?","?","?"
"gtkpod","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"iRip","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"iTunes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"JRiverMediaCenter","Yes","?","Yes","Yes","No","Yes","?","?","?"
"MediaMonkey","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes"
"Rhythmbox","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Senuti","Yes","Yes","No","No","Yes","Yes","Yes","?","?"
"Winampnative","Yes","Yes","No","Yes","Yes","Yes","?","Yes","Yes"
"XPlay","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Manager","CopyMusic","CopyVideos","CopySmartPlaylists","CopyAlbumArtwork","ExtractDRM-FreeMusic","ExtractDRM-FreeVideos","ExtractPlaycounts","ExtractPlaylists","CopyContenttoiPod"
