"Software","Platform","Availability","License","Version","PersistenceSpecification"
"ApacheCayenne","JavaVirtualMachine","Opensource","ApacheLicense2.0","3.0.2/July21,2011",""
"Dapper",".NET4.0","Opensource","ApacheLicense2.0","1.8NuGet",""
"DataNucleus","JavaVirtualMachine","Opensource","ApacheLicense2","4.1.0.RELEASE/May19,2015","JDO"
"DBIx::Class","Perl","Opensource","ArtisticLicense1.0&GPL","0.082820/March20,2015(2015-03-20)",""
"Django","Python","Opensource","BSDlicenses","3.2.2(May6,2021)",""
"Doctrine","PHP","Opensource","MIT","2.4/April8,2014",""
"EclipseLink","JavaVirtualMachine","Opensource","EclipsePublicLicenseVersion1.0(EPL)andEclipseDistributionLicenseVersion1.0(EDL)","2.4.2/July4,2013","JPA2.0"
"EntityFrameworkCore",".netcore","OpenSource","ApacheLicense2.0","6.0/November10,2021"
"LLBLGenPro",".net","Sourceavailableforcustomers","ProprietaryLicense","5.7/May25,2020","DesignersupportsLLBLGenEngine,EntityFrameworkCore,EntityFramework"
"Hibernate","JavaVirtualMachine","Opensource","GNULesserGeneralPublicLicense","5.4.31/April30,2021","JPA2.0"
"MyBatis/iBATIS","Cross-platform","Opensource","ApacheLicense2.0","",""
"jOOQ","JavaVirtualMachine","Opensource","ApacheLicense2.0andProprietaryLicense","3.2.0/October9,2013",""
"MicrosoftADO.NETEntityFramework",".NET4.5","Partof.NET4.5","ApacheLicense2.0","v6.0(2014)",""
"nHibernate",".NET4.5","Opensource","GNULesserGeneralPublicLicense","4.0(2014-08-17)",""
"ODB","Cross-platformC++","Dual-licensed","GNUGeneralPublicLicenseandProprietaryLicense","2.4.0/February11,2015",""
"RedBeanPHP","PHP","Opensource","BSDLicense","4/April1,2014",""
"SQLAlchemy","Python","Opensource","MITLicense","1.2.14/November10,2018(2018-11-10)",""
"SQLObject","Python","Opensource","LGPL","3.9.0/December15,2020(2020-12-15)",""
"Skipper","PHP","Commercial","Proprietarysoftware","3.0",""
"Storm","Python","Opensource","LGPL2.1","0.20/June28,2013(2013-06-28)",""
"TopLink","JavaVirtualMachine","Commercial","OracleLicense","10g","JPA"
"WebORBIntegrationServer",".NET,Java,PHP","Commercial&Opensource","WebORBfor.NETandWebORBforJava=ProprietaryLicense,WebORBforPHP=MozillaPublicLicense","WebORBfor.NETv.4.2(Oct2010),WebORBforJavav.4.0(Sep2010),WebORBforPHP(Sep2008)",""
