"Name","Showin-linechanges","Directorycomparison","Binarycomparison","Movedlines","3-waycomparison","Merge","Structuredcomparison","Manualcomparealignment","Imagecompare"
"BeyondCompare","Yes","Yes","Yes","No","Yes(FilesandFolders)","Yes(Proonly)","","Yes","Yes"
"Compare++","Yes","Yes","","","Yes","Yes","Yes(C/C++,C#,Java,Javascript,CSS3)","",""
"diff","No","Yes","partly","No","No","No","","",""
"diff3","No","No","","","Yes(non-optional)","","","",""
"Eclipse(compare)","Yes","","","","No(onlyancestor)","Yes","","No",""
"Ediff","Yes","Yes","Yes","","Yes","Yes","","",""
"ExamDiffPro","Yes","Yes","Yes","Yes","Yes(ExamDiffProMasteronly)","Yes","","manualsynchronization",""
"FarManager(compare)","Yes(Viaplugin)","Yes","Yes","Yes(Viaplugin)","No","No","","",""
"fc","No","No","Yes","","No","No","","",""
"FileMerge(akaopendiff)","Yes","Yes","Yes","","Yes(optionalancestor)","Yes","","",""
"GuiffySureMerge","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes"
"IntelliJIDEA(compare)","Yes","Yes","Yes","No","Yes","Yes","","Yes","Yes"
"jEditJDiffplugin","Yes","","","","No","Yes","","",""
"LazarusDiff","","","","","","","","",""
"Meld","Yes","Yes","No","No","Yes","Yes","","linealignment,unlinkscroll",""
"Notepad++(compare)","Yes","No","No","Yes","No","No","No",""
"PerforceP4Merge","Yes","No","No","","Yes","Yes","","","Yes"
"PrettyDiff","Yes","Yes","No","No","No","No","Yes","No",""
"Tkdiff","Yes","No","No","No","No","No","","",""
"TotalCommander(compare)","Yes","Yes","Yes","No","No","Yes","No","resynccomparison","No"
"vimdiff","Yes","Yes(viaDirDiffplugin)","","","Yes","Yes","","",""
"WinDiff","Yes","Yes","Yes","Yes","No","No","","",""
"WinMerge","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes"
"UCC","Yes","Yes","Yes","Yes","No","Yes","","",""
"Name","Showin-linechanges","Directorycomparison","Binarycomparison","Movedlines","3-waycomparison","Merge","Structuredcomparison","Manualcomparealignment","Imagecompare"
