"BitTorrentclient","Protocolversion","MagnetURI","PreloadMagnetmetadata","Super-seeding","Embeddedtracker","UPnP","NATPortMappingProtocol","NATtraversal","DHT","Peerexchange","Encryption","UDPtracker","LPD","Proxyserver"
"BitComet","1","Yes","No","Yes","Separatedownload","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","HTTP1.1,SOCKS4-4a-5"
"BitLord","1","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP1.1,SOCKS4-4a-5"
"BitTorrent5,Mainline","1","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes"
"BitTorrent6","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S),SOCKS4-5"
"Deluge","1","Yes","Partial","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S),SOCKS4-5"
"FlashGet","1","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No"
"FreeDownloadManager","1","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No"
"KTorrent","1","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","HTTP,SOCKS4-5"
"LimeWire","1","Partial","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"MLDonkey","1","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No"
"?Torrent","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S),SOCKS4-5"
"Opera12","1","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No"
"qBittorrent","1,2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S),SOCKS4-5"
"rTorrent","1","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Shareaza","1","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No"
"Tixati","1","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","onlywithoutgoingwithoutDHTifanonymityrequired"
"Tonido","1","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Transmission","1","Yes","Patchavailable","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Tribler","1","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","UsesP2Ponionroutingtoprovideanonymity."
"Vuze(formerlyAzureus)","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Plugin","HTTP(S)?,SOCKS4-4a-5"
"Xunlei","1","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","HTTP,SOCKS5,FTP"
"BitTorrentclient","Protocolversion","MagnetURI","PreloadMagnetmetadata","Super-seeding","Embeddedtracker","UPnP","NATPortMappingProtocol","NATtraversal","DHT","Peerexchange","Encryption","UDPtracker","LPD","Proxyserver"
