"English","Malay","Indonesian"
"halfpastone","pukulsatusetengah(lit.oneandahalf)","pukulsetengahdua(thirtytotwo)"
"hammer","tukul","palu,martilfromPortuguesemartelo"
"Handball","bolabaling","bolatangan"
"hare","kelinci(kelincimeans'rabbit'inIndonesian)","terwelu(fromJavaneseterwèlu)"
"headoffice","ibupejabat""ibu""alsomeans""mother""or""ma'am""inbothlanguages","kantorpusat(""kantor""–fromDutchkantoor(office)),markas"
"headscarf,hijab","tudung","kerudung,jilbabthoughthesewordshavedifferentmeanings"
"healthy","sihat","sehat"
"herb","herba","jamuoftenunderstoodastraditionalpotionmadefromrhizomes,alsomeans""guest""(""tamu"")and""treattheguest""(""menjamu""),herbal"
"hexadecimal","perenambelasan","heksadesimal"
"hospital","hospital","rumahsakitinfluencedbyDutchziekenhuis(""houseofthesick"")–ThistermisstillusedinBrunei,butinMalaysia,""hospital""hasreplacedthetermcompletelysincethe1960s"
"Hungary","Hungary","Hungaria,Hongariasubstandard,influencedbyDutchHongarije"
"hybrid(biology)","kacukanhibrid","hibrida"
