"English","Malay","Indonesian"
"I","saya,aku,daku","saya,aku,daku"
"ice","ais","es"
"Iceland","Iceland","Islandia"
"identity","identiti","identitas"
"image","citra,imej(ofreputation),gambar(pictorialimage),maruah(ofreputation)","citra(ofreputation),gambar(pictorialimage)"
"imagination","imaginasi,bayangan","imajinasi,khayalan"
"immigration","imigresen,imigrasi","imigrasifromDutchimmigratie"
"import","import","impor"
"impotence","matipucuk,impotensi,lemahsyahwat","impotensifromDutchimpotentie,lemahsyahwatcolloquial"
"impotent","kemandulan","impotensi,kemandulan"
"incineration","penunuan","insinerasi"
"IndianOcean","LautanHindi","SamudraHindia"
"inductor","peraruh,induktor(rare)","induktor"
"information","maklumat","informasi,fromDutchinformatie,peneranganrare"
"injection(noun)","suntikan","suntikan,injeksi"
"ink","dakwatfromArabic","tintafromDutchtinte,dawat(archaic)"
"installment(payment)","ansuran","angsuran,cicilan"
"instant","segera(means""soon""inIndonesia)","seketika,instan"
"insurance","insurans","asuransifromDutchassurantie"
"intelligence(spying)","risikan(means'secretinvestigation'inIndonesia)","intelijen,tiliksandi"
"international","antarabangsa","internasional,mancanegarafromJavanesemeaning:foreignland)"
"internetcafé","kafeinternet,kafecyber","warnetaportmanteaufor""warunginternet""(lit.internetshop)"
"intervention","campurtangan,intervensi","campurtangan,intervensi"
"introspection","kajidiri,introspeksi(rare)","introspeksi,mawasdiri"
"invasion","penyerangan,penjajahan(meanscolonialisminIndonesian),invasi","invasi"
"investment","pelaburan","investasi,penanamanmodal"
"Iraq","Iraq","Irak"
"Ireland","Ireland","Irlandia"
"irrigation","pengairan","irigasi,pengairan"
"Italy","Itali","ItaliafromItalian"
