"English","Malay","Indonesian"
"Macau","Macau","Makau"
"Macedonia,Republicof","RepublikMacedonia","RepublikMakedonia"
"magistrate","majistret","hakimfromArabicحَكِم–usedinMalaytorefertojudges,magistratlesscommon"
"Maldives","Maldives","Maladewa"
"male","lelaki,laki-laki,jantan(foranimals,dependingonthecontext,itcanmeanmasculineorusedasaderogatorytermonmen)","laki-laki,pria,lelaki,jantan(onanimals,usedonmentodescribemasculinity)"
"malfunction","kerosakan,malfungsi,pincangtugas","kerusakan,malafungsi"
"malpractice","penyelewengan(means""misappropriation""inIndonesian)","malapraktik"
"management","pengurusan","manajemen,pengurusan(rare)"
"manager","pengurus","manajer,pengurus"
"manufacturing","pengilangan","manufaktur"
"March(month)","Mac","MaretinfluencedbyDutchmaart"
"mass","jisim","massa"
"mathematics","matematik,ilmuhisab","matematika,ilmuhitung,ilmuhisabonlyusedinIslamictextbooks"
"matter","jirim","materi"
"mattress","tilam","kasur,matras,tilam"
"mean(verb)","bererti","berarti"
"mediation","pengantaraan(InIndonesian,itmeans""broking"")","mediasi"
"medicine","ubat","obat"
"memorycard","kadingatan/kadmemori","kartumemori"
"mentalarithmetic","congak","aritmetikacepat,congak"
"Mexico","Mexico","Meksiko"
"mile","batu(means""stone""inIndonesian.""stone""isanalternativemeaningof""batu""inMalay)","mil"
"military","tentera,ketenteraan,militari","militer(fromFrenchmilitairethroughDutchmilitair),kemiliteran,ketentaraan"
"minibus","basmini","bismini,minibus"
"minute","minit","menit"
"mobilephone,cellphone","telefonbimbit","teleponseluler(ponsel),telepongenggam"
"Monaco","Monaco","Monako"
"Monday","Isnin","Senin"
"money","wang,duit","uang,duit(colloquial)"
"Morocco","MaghribifromArabic","Maroko"
"mortgage","gadaijanji","hipotekfromDutchhypotheek,gadai"
"Moscow","Moscow","Moskwa,Moskow"
"motorcycle","motosikal","sepedamotorlit.""motorizedbicycle""–influencedbyDutchmotorfiets,motor(informal)"
"Mozambique","Mozambique","Mozambik"
"Mrs.","Puan","Ibu,Nyonya(Ny.)"
"music","muzik","musik"
