"DVR","TunerSharing","HardDiskPooling","SharedMediaDatabase","HomeAutomation","MediaExtenders","Placeshifting/Spaceshifting","Two-wayRemoteControl","SecondScreen"
"BeyondTV","Yes","Yes","No","No","Yes","Yes","No","Unknown"
"EyeTV","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown"
"NextPVR","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Kodi(formerlyXBMC)","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown"
"MediaPortal","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"MediaPhoenix/ShowShifter","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"MythTV","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"SageTV","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown"
"ArcsoftTotalMediaTheatre","Yes","Yes","Yes","No","Yes","Yes","No","Unknown"
"WindowsMediaCenter","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"VBox@TV","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown"
