"Software","Version","Operatingsystems","Developer","License"
"BeeOneSMOD/HMS","3.1","Windows","Hemi-SynthsExplorers","Proprietary"
"BinauralBeethoven","3.1.4","iOS","TomášBaculák","Proprietary"
"BrainEqualizer","3.7.0","iOS","TomášBaculák","Proprietary"
"BrainWaveGenerator","3.1","Windows","NoromaaSolutionsOy.","Proprietary"
"BrainWaveProducer","1.0","Windows","SaschArt","Proprietary"
"Gnaural","1.0.20100707","Android,FreeBSD,Linux,MacOSX,Windows","gnaural","GPL"
"BrainIgniterPlayer","6.0","Windows","Volition","Proprietary"
"NeuroEntrainment","2.0","Android","Tensai","Proprietary"
"Neuro-Programmer3","3.0.9.0","Windows","TransparentCorp.","Proprietary"
"MindWorkStation","1.2.2.0","Windows","TransparentCorp.","Proprietary"
"SBaGen","1.4.4","DOS,FreeBSD,Linux,MacOSX,Windows,WinCE","Uazu","GPL"
"BrainwaveStudio","1.5","MacOSX,iOS","RCSSoftware","Proprietary"
"Discord","3.2.1","Linux","StanLysiak","GPL"
"IsochronicToneGenerator","1.8","iOS","CMLStudio","Proprietary"
"LuxVSTBrainwaveEntrainmentInstrument","1.1","Windows","SteveDuell","GPL"
"NeuroSequencerPro","1.7","Windows","isone","Proprietary"
"SHARMStudio5","5.3.5","Windows","CyberTeamLtd.","Proprietary"
