"English","Malay","Indonesian"
"ketchup","sostomato","saustomat"
"lane","lorong(meansalleyinIndonesian)","lajur"
"lawyer","peguam","advokatfromDutchadvocaat,pengacara(means'masterofceremonies'inMalay)"
"Lebanon","LubnanfromArabic","Lebanon,LibanoninfluencedbyDutch"
"legislative","perundangan(InIndonesian,itmeanslegislation),legislatif","legislatif"
"liability","liabiliti","kewajiban"
"licence","lesen,izin","izin,ijinfromArabicidhn,lisensifromDutchlicentie"
"lieutenant","leftenan(influencedbyBritishEnglishpronunciation)","letnan"
"lift,elevator","lif","lift"
"liquidity(economy)","kecairan","likuiditas"
"Lisbon","Lisbon","LisboafromPortuguese,LisaboninfluencedbyDutchLissabon"
"list","senarai","daftar,senarailesscommon"
"local","tempatan","lokal,setempat"
"lorry(UK)","Lori","Truk(fromAmericanEnglish:'truck'),prahotofromDutchvrachtauto"
"Luxembourg","Luxembourg","LuksemburginfluencedbyDutch/GermanLuxemburg"
