"Function","FalconStor","FreeNAS","MicrosoftWindowsStorageServer","Open-E","Openfiler"
"ContinuousDataProtection(CDP)","Yes","No","Yes","Yes","Yes"
"Snapshot","Yes","Yes","Yes","Yes","Yes"
"MirroringandReplication","Yes","Yes","Yes","Yes","Yes"
"ThinProvisioning","Yes","No","Yes","No","No"
"I/Ocaching","Yes","No","Yes","No","Yes"
"ChallengeHandshakeAuthenticationProtocol(CHAP)","Yes","Yes","Yes","Yes","Yes"
"Multi-usermutualCHAPauthorization","No","No","No","No","No"
"IPsectunnelling","No","No","Yes","Yes","No"
"SoftwareRAID","No","Yes","Yes","Yes","Yes"
"VirtualOpticalDrive","No","Yes","Yes","Yes","Yes"
"Virtualtapelibrary","Yes","No","No","Yes","No"
"MicrosoftManagementConsolesupport","No","Yes","No","No","No"
"PerfMonsupport","No","No","Yes","No","No"
"Highavailabilitysupport","Yes","No","Yes","Yes,butunstable","No"
"VHDsupport","Yes","Yes-CHAP","Yes","Yes","No"
"Dynamicallyexpandingfilesupport","Yes","No","No","No","No"
"VirtualBurnersupport","No","No","No","No","No"
"EventViewersupport","No","No","Yes","No","No"
"MPIO","Yes","No","Yes","Yes","Yes"
"WindowsVolumeSnapshotService","No","No","Yes","No","No"
"VMwareintegrationtoolkit","No","No","No","No","No"
"Remotemanagement","Yes","Yes","Yes","Yes","Yes"
"UnlimitedNetworkInterfaceControllerSupport","Yes","Yes","Yes","Yes","Yes(Oldv:1)"
"Storageunlimited","No64TB","Yes","Yes","No4/8/16(moreneedadditionallicense)","Yes"
