"English","Malay","Indonesian"
"e-mail","e-mel","surel(standard,shortenedofsuratelektronik(electronicmail)),email(rarelyusedineverydaylanguage,commoninonlinecontexts(e.g.website-basedregistrationorsocialaccount))"
"Easter","Easter,PaskahstrictlyusedforJewishPassover","PaskahfromPortuguesePáscoa"
"Ecuador","Ecuador","Ekuador"
"editor","penyunting","editor,penyunting,redaktur(fromFrenchrédacteurthroughDutch–referstoeditorsofmassprintedmedia)"
"editorial(board)","kakitanganeditorial","redaksi(fromDutchredactie),editorial"
"effectiveness","keberkesanan","keampuhan,keefektifan,efektivitas(fromDutcheffectiviteit)"
"efficiency","kecekapan","efisiensi,kedayagunaan,kemangkusan"
"Eidul-Fitr","HariRayaAidilfitri,HariRayaPuasa,Lebaran","HariRayaIdulfitri–IdulFitrinonstandardspelling,butcommon,Lebarancolloquial–fromJavanese"
"eight","lapanusedascolloquialabbreviationinIndonesian","delapanusedinMalaysiabeforethespellingreform"
"elasticity(economy)","keanjalan","bingkas,elastisitas"
"electricity","tenagaelektriklit.electricenergy","listrik,kelistrikan,setrum(fromDutchstroom)"
"embargo(political)","sekatan(means""obstacle""or""roomwhichseparatedwithpartition""inIndonesian)","boikot,embargo"
"emergency","kecemasan(usedforanxietyor""tooanxious""(condition)inIndonesian),darurat","darurat(fromArabic–alsousedinMalaysiatoexpressastateofemergency),kegawatan"
"emperor","maharaja","kaisar(fromDutchkeizer),maharaja(fromSanskrit)"
"empire","empayar","kekaisaran,kemaharajaan,imperium(fromLatin)"
"enamel","enamel","email(fromDutchemaille)"
"energy","tenaga","energi,tenaga(for""power"")"
"engine","enjin","mesin,motor"
"England","negeriInggeris","Inggris"
"eraser","getahpemadam","penghapus"
"erosion","hakisan","pengikisan,erosi(fromDutcherosie)"
"escalator","tanggagerak","tanggaberjalan,eskalator"
"estimation","jangkaan,anggaran","perkiraan,dugaan,estimasi"
"Ethiopia","HabsyahfromArabicالحبشةal-habsha(Abyssinia)","Etiopia"
"Europe","Eropah","Eropa,Europa(nonstandard)"
"evacuation","pemindahan(means""translocation""or""relocation""inIndonesian)","pengungsian,evakuasi(fromDutchevacuatie)"
"evaluation","penilaian","penilaian,evaluasi(fromDutchevaluatie)"
"evening","teja,petang,sore","sorepetang"
"excess","lebihan","kelebihan(""benefit""inMalay),berlebihan,ekses"
"excretion","perkumuhan","ekskresi,pembuangankotoran"
"execution(deathsentence)","hukumanmati","eksekusi(fromDutchexecutie),(peng)hukumanmati"
"exhaust(pipe)","ekzos","knalpot(fromDutch,inwhichitalsomeans""muffler"")"
"exploration","penjelajahan,eksplorasi","eksplorasi,penjelajahan"
"export","eksport","ekspor"
"expose","pendedahan","paparan,ekspos,pendedahan(virtuallyneverusedinIndonesia,listedbyKBBI)"
"extinct","pupus(ofspecies),padam(offlameorlight)","padam(offlameorlight),punah(ofspecies),pupus(lossofhope)"
