"","Shellcommand","Executeprogram","Replacecurrentprogramwithnewexecutedprogram"
"Ada","Notpartofthelanguagestandard.CommonlydonebycompilerprovidedpackagesorbyinterfacingtoCorPOSIX.","Notpartofthelanguagestandard.CommonlydonebycompilerprovidedpackagesorbyinterfacingtoCorPOSIX.","Notpartofthelanguagestandard.CommonlydonebycompilerprovidedpackagesorbyinterfacingtoCorPOSIX."
"C","system(""command"");","","execl(path,args);orexecv(path,arglist);"
"C++","system(""command"");","","execl(path,args);orexecv(path,arglist);"
"Objective-C","system(""command"");","[NSTasklaunchedTaskWithLaunchPath:(NSString*)patharguments:(NSArray*)arguments];",""
"C#","","System.Diagnostics.Process.Start(path,argstring);",""
"F#","","System.Diagnostics.Process.Start(path,argstring);",""
"Go","","exec.Run(path,argv,envv,dir,exec.DevNull,exec.DevNull,exec.DevNull)","os.Exec(path,argv,envv)"
"VisualBasic","Interaction.Shell(command«,WindowStyle»«,isWaitOnReturn»)","",""
"VisualBasic.NET","Microsoft.VisualBasic.Interaction.Shell(command«,WindowStyle»«,isWaitOnReturn»)","System.Diagnostics.Process.Start(path,argstring)",""
"Xojo","Shell.Execute(command«,Parameters»)","FolderItem.Launch(parameters,activate)","N/A"
"D","std.process.system(""command"");","","std.process.execv(path,arglist);"
"Java","","Runtime.exec(command);ornewProcessBuilder(command).start();",""
"JavaScriptWindowsScriptHostimplementation","WScript.CreateObject(""WScript.Shell"").Run(command«,WindowStyle»«,isWaitOnReturn»);","WshShell.Exec(command)",""
"CommonLisp","(uiop:run-programcommand)","",""
"Scheme","(systemcommand)","",""
"ISLISP","N/A","N/A","N/A"
"Pascal","system(command);","",""
"OCaml","Sys.commandcommand,Unix.open_process_fullcommandenv(stdout,stdin,stderr),...","Unix.create_processprogargsnew_stdinnew_stdoutnew_stderr,...","Unix.execvprogargsorUnix.execveprogargsenv"
"StandardML","OS.Process.systemcommand","Unix.execute(path,args)","Posix.Process.exec(path,args)"
"Haskell(GHC)","System.systemcommand","System.Process.runProcesspathargs...","Posix.Process.executeFilepathTrueargs..."
"Perl","system(command)or$output=`command`or$output=qx(command)","","exec(path,args)"
"Ruby","system(command)oroutput=`command`","","exec(path,args)"
"PHP","system(command)or$output=`command`orexec(command)orpassthru(command)","",""
"Python","os.system(command)orsubprocess.Popen(command)","subprocess.call([""program"",""arg1"",""arg2"",…])","os.execv(path,args)"
"S-Lang","system(command)","",""
"Fortran","CALLEXECUTE_COMMAND_LINE(COMMAND«,WAIT»«,EXITSTAT»«,CMDSTAT»«,CMDMSG»)","",""
"WindowsPowerShell","[Diagnostics.Process]::Start(command)","«Invoke-Item»programarg1arg2…",""
"Bashshell","output=`command`oroutput=$(command)","programarg1arg2…",""
