"PlantName","Chernobyl","FukushimaDaiichi"
"Location","SovietUnion(UkrainianSovietSocialistRepublic)51°23′22″N30°05′57″E﻿/﻿51.38946°N30.09914°E﻿/51.38946;30.09914","Japan37°39′59″N141°01′15″E﻿/﻿37.6665°N141.0208°E﻿/37.6665;141.0208"
"Dateoftheaccident","April26,1986","March11,2011"
"INESLevel","7","7"
"Plantcommissioningdate","1977","1971"
"Yearsofoperationbeforetheaccident","9years(plant)2years(Unit4)","40years(plant)40years(Unit1)37years(Unit2)35years(Unit3)33years(Unit4)"
"Electricaloutput","plant(net):3700MWe(4reactors)reactors(net):925MWe(Units1–4)","plant(net):4546MWe(6reactors)reactors(net):439MWe(Unit1),760MWe(Units2–5),1067MWe(Unit6)"
"Typeofreactor","RBMK-1000graphitemoderated,2ndgenerationreactorwithoutcontainment","BWR-3andBWR-4reactorswithMarkIcontainmentvessels"
"Numberofreactors","4onsite;1involvedinaccident","6onsite;4(andspentfuelpools)involvedinaccident;oneofthefourreactorswasemptyoffuelatthetimeoftheaccident."
"Amountofnuclearfuelinaffectedreactors","1reactor-210tons(spentfuelpoolsnotinvolvedinincident)","4reactors-854tons(81tonsinUnit1reactor,111tonsinUnit2reactor,111tonsinUnit3reactor,0tonsinUnit4reactor(defueled),59tonsinUnit1spentfuelpool(SFP),119tonsinUnit2SFP,104tonsinUnit3SFP,and269tonsinUnit4SFP)"
"Causeoftheaccident","Proximatecausewashumanerrorandviolationofprocedures.Theunsafereactordesigncausedinstabilityatlowpowerduetoapositivevoidcoefficientandsteamformation.Whenanimpropertestwasconductedat1:00amatlowpower,thereactorbecamepromptcritical.Thiswasfollowedbyasteamexplosionthatexposedthefuel,aragingfire,andacoremeltdown.Thefirelastedfordaystoweeks,andthereiscontroversyoverwhetheritwasthefuelburning,nucleardecayheatingorwhetherthegraphitemoderatorthatmadeupmostofthecorewasinvolved.SeeChernobylDisaster,Note1,formorediscussion.","Theplantswerenotdesignedwithconsiderationofsuchalargetsunami.Subsequentreviewdidnotleadtomitigation.Amajorearthquakeandtsunamicausedthedestructionofpowerlinesandbackupgenerators.Oncetheplantswerewithoutexternalpowerandthegeneratorswereflooded,acatastrophicdecayheatcasualtyensued,leadingtomajorreactorplantdamageincludingmeltdownsandexplosivelossofreactorcontainment."
"Maximumlevelofradiationdetected","300Sv/hshortlyaftertheexplosioninvicinityofthereactorcore.","530Sv/hinsideUnit2containmentvesselin2017accordingtoJapanTimes."
"Radioactivityreleased","AccordingtoIAEA,totalreleasewas14EBq(14,000PBq).5.2EBq(5,200PBq)iniodine-131equivalent","Asof2014,apeerreviewedestimateofthetotalwas340–780PBq,with80%fallingintothePacificOcean.RadiationcontinuestobereleasedintothePacificviagroundwater."
"Areaaffected","Anareaupto500kilometres(310mi)awaycontaminated,accordingtotheUnitedNations.","Radiationlevelsexceedingannuallimitsseenover60kilometres(37mi)tonorthwestand40kilometres(25mi)tosouth-southwest,accordingtoofficials."
"ExclusionZoneArea","30km","20km(30kmvoluntary)extendingnorth-westto45kminthedownwinddirectiontoIitate,Fukushima"
"Populationrelocated","335,000(About115,000fromareassurroundingthereactorin1986;about220,000peoplefromBelarus,theRussianFederationandUkraineafter1986)","154,000"
"Populationreturned","None","122,000"
"Directfatalitiesfromtheaccident","Twoimmediatetraumadeaths;28deathsfromAcuteRadiationSyndromeoutof134showingsymptoms;fourfromanindustrialaccident(helicoptercrash);15deathsfromradiation-genicthyroidcancers(asof2005);asmanyas4000to90000cancerrelateddeaths.","None"
"Currentstatus","Allreactorswereshutdownby2000.Thedamagedreactorwascoveredbyahastilybuiltsteelandconcretestructurecalledthesarcophagus.ANewSafeConfinementstructurewasinstalledinNovember2016,fromwhichtheplantwillbecleanedupanddecommissioned.","Coldshutdowndeclaredon16December2011,butdecommissioningislikelytotake30to40years.Allfuelrodsinreactor4poolremoved.Fukushimadisastercleanupisongoing."
