"Fileextension(s)","MIMEtype","Officialname","Platform","Description"
".bz2","application/x-bzip2","bzip2","Unix-like","Anopensource,patent-androyalty-freecompressionformat.ThecompressionalgorithmisaBurrows–Wheelertransformfollowedbyamove-to-fronttransformandfinallyHuffmancoding."
".F,.?XF","","Freeze/melt[1]","QNX4,Unix-likeandDOS","OldcompressorforQNX4OS.ThecompressionalgorithmisamodifiedLZSS,withanadaptiveHuffmancoding."
".gz","application/gzip","gzip","Unix-like","GNUZip,theprimarycompressionformatusedbyUnix-likesystems.ThecompressionalgorithmisDeflate,whichcombinesLZSSwithHuffmancoding."
".lz","application/x-lzip","lzip","Unix-like","AnalternateLZMAalgorithmimplementation,withsupportforchecksumsandidentbytes."
".lz4","","LZ4","Unix-like","AlgorithmdevelopedbyYannCollet,designedforveryhigh(de)compressionspeeds.ItisanLZ77derivative,withoutentropyencoding."
".lzma","application/x-lzma","lzma","Unix-like","TheLZMAcompressionalgorithmasusedby7-Zip."
".lzo","application/x-lzop","lzop","Unix-like","AnimplementationoftheLZOdatacompressionalgorithm."
".rz","","rzip","Unix-like","Acompressionprogramdesignedtodoparticularlywellonverylargefilescontaininglongdistanceredundancy."
".sfark","","sfArk","Windowscompress/decompress-LinuxandmacOSdecompressonly","AcompressionprogramdesignedtodohighcompressiononSF2files(SoundFont)."
".sz","application/x-snappy-framed","Snappy","Unix-like","AcompressionformatdevelopedbyGoogle,andopen-sourcedin2011.Snappyaimsforveryhighspeeds,reasonablecompression,andmaximumstabilityratherthanmaximumcompressionorcompatibilitywithanyothercompressionlibrary.ItisanLZ77derivative,withoutentropyencoding."
".?Q?","","SQ","CP/MandDOS","Squeeze:AprogramwhichcompressedfilesusingHuffmancoding.Afilewhichwas""squeezed""hadthemiddleinitialofthenamechangedto""Q"",sothatasqueezedtextfilewouldendwith.TQT,asqueezedexecutablewouldendwith.CQMor.EQE.Typicallyusedwith.LBRarchives,eitherbystoringthesqueezedfilesinthearchive,orbystoringthefilesdecompressedandthencompressingthearchive,whichwouldhaveanameendingin"".LQR""."
".?Z?","","CRUNCH","CP/MandDOS","AcompressionprogramwrittenbyStevenGreenbergimplementingtheLZWalgorithm.ForseveralyearsintheCP/MworldwhennoimplementationwasavailableofARC,CRUNCHedfilesstoredin.LBRarchiveswereverypopular.CRUNCH'simplementationofLZWhadasomewhatunusualfeatureofmodifyingandoccasionallyclearingthecodetableinmemorywhenitbecamefull,resultinginafewpercentbettercompressiononmanyfiles."
".xz","application/x-xz","xz","Unix-like","AcompressionformatusingLZMA2toyieldhighcompressionratios.TheLZMAalgorithmisanLZ77derivative,withentropyencodingintheformofrangeencoding."
".z","application/x-compress","pack","Unix-like","ThetraditionalHuffmancodingcompressionformat."
".Z","application/x-compress","compress","Unix-like","ThetraditionalLZWcompressionformat."
".zst","application/zstd","Zstandard","Cross-platform","AlgorithmdevelopedbyYannColletatFacebook,combininghighspeedandhighcompression.ItisanLZ77derivative,withentropyencodingintheformofFiniteStateEntropyandHuffmancoding."
".??_","","","MS-DOS/Windows","Compressionformat(s)usedbysomeDOSandWindowsinstallprograms.MS-DOSincludesexpand.exetodecompressitsinstallfiles.Thecompressedfilesarecreatedwithamatchingcompress.execommand.ThecompressionalgorithmisLZSS."
