"Format","Returns","Languages"
"string'Length","","Ada"
"UPBstring","","ALGOL68"
"length(string)","","Ingres,Perl5,Pascal,ObjectPascal(Delphi),Rexx,Seed7,SQL,PL/I"
"len(string)","","BASIC,FreeBASIC,Python,Go,PickBasic"
"length(string),string:len(string)","","Erlang"
"Len(string)","","VB,PickBasic"
"string.Length","NumberofUTF-16codeunits","VB.NET,C#,WindowsPowerShell,F#"
"chars(string)string.chars","Numberofgraphemes(NFG)","Raku"
"codes(string)string.codes","NumberofUnicodecodepoints","Raku"
"string.sizeORstring.length","Numberofbytes","Ruby"
"strlen(string)","Numberofbytes","C,PHP"
"string.length()","","C++(STL)"
"string.length","","Cobra,D,JavaScript"
"string.length()","NumberofUTF-16codeunits","Java"
"(string-lengthstring)","","Scheme"
"(lengthstring)","","CommonLisp,ISLISP"
"(countstring)","","Clojure"
"String.lengthstring","","OCaml"
"sizestring","","StandardML"
"lengthstring","NumberofUnicodecodepoints","Haskell"
"string.length","NumberofUTF-16codeunits","Objective-C(NSString*only)"
"string.characters.count","Numberofcharacters","Swift(2.x)"
"count(string)","Numberofcharacters","Swift(1.2)"
"countElements(string)","Numberofcharacters","Swift(1.0–1.1)"
"string.len(string)(string):len()#string","","Lua"
"stringsize","","Smalltalk"
"LEN(string),orLEN_TRIM(string)","","Fortran"
"StringLength[string]","","Mathematica"
"«FUNCTION»LENGTH(string)or«FUNCTION»BYTE-LENGTH(string)","numberofcharactersandnumberofbytes,respectively","COBOL"
"stringlengthstring","adecimalstringgivingthenumberofcharacters","Tcl"
"≢string","","APL"
"string.len()","Numberofbytes","Rust"
"string.chars().count()","NumberofUnicodecodepoints","Rust"
