"Client","feedURIscheme","RSS0.91","RSS1.0","RSS2.0","RSSenclosure","MRSS","Atom","otherformat","Deltaupdates","IPv6","Autoupdates","HTTPBasicAuth"
"Akregator","?","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes"
"Amarok","?","?","Yes","Yes","Yes","?","Yes","?","No","?","Yes","?"
"AOLExplorer","?","?","?","?","?","?","Yes","?","?","Yes","?","?"
"Avant","?","?","?","?","?","?","Yes","?","?","Yes","?","?"
"Awasu","Yes","Yes","Yes","Yes","Yes","Yes","Yes","anyXMLformat(viaXSL)","?","Yes","Yes","?"
"BlogBridge","?","?","?","?","?","?","?","?","?","?","?","?"
"Canto","?","Yes","Yes","Yes","Yes","?","Yes","?","?","?","Yes","?"
"ClawsMail","?","No","Yes","Yes","?","?","Yes","?","No","Yes","Yes","?"
"CommaFeed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","RSS0.90,RSS0.92,RSS0.93,RSS0.94,Atom0.3,Atom1.0","No","Yes","Yes","No"
"Cooliris","?","?","?","?","Yes","Yes","?","?","No","?","?","?"
"FeedViewer","?","Yes","Yes","Yes","Yes","Yes","Yes","CDF,RDF","No","Yes","Yes","?"
"FeedDemon","Yes","?","?","?","?","?","?","?","Yes","?","?","?"
"Feedreader","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","Yes","?"
"Flock","Yes","?","?","?","?","Yes","Yes","?","?","Yes","Yes","?"
"Gnus","?","Yes","Yes","Yes","?","?","No","Newsgroups","?","Yes","No","?"
"IBMLotusNotes","?","Yes","Yes","Yes","?","?","Yes","?","?","Yes","?","?"
"InternetExplorer","No","Yes","Yes","Yes","Yes","?","Yes","WebSlice","Yes","Yes","Yes","?"
"iTunes","?","?","?","Yes","Yes","?","Yes","?","No","?","Yes","?"
"Juice","?","?","?","?","Yes","?","?","?","No","?","?","?"
"K-Meleon","?","?","?","?","?","?","Yes","?","?","Yes","?","?"
"Kazehakase","?","?","?","?","?","?","?","LIRS,HINA-DI","?","Yes","?","?"
"Liferea","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","?"
"Mail(OSX)","?","?","?","Yes","?","?","Yes","?","No","Yes","Yes","?"
"Maxthon","?","?","?","?","?","?","Yes","?","Yes","Yes","?","?"
"MediaMonkey","?","?","?","?","Yes","?","?","?","?","?","?","?"
"MicrosoftOfficeOutlook","?","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","Yes","?"
"Miro","?","?","?","?","Yes","Yes","?","?","?","?","?","?"
"MozillaFirefox","?","Add-on","Add-on","Add-on","?","Add-on","Add-on","?","No","Add-on","Add-on","?"
"MozillaThunderbird","?","Yes","Yes","Yes","?","?","Yes","Newsgroup","No","Yes","Yes","Yes"
"NetNewsWire","Yes","?","?","?","?","?","?","?","No","?","?","No"
"NetscapeBrowser","?","?","?","?","?","?","Yes","?","No","Yes","Yes","?"
"NetscapeNavigator9","?","?","?","?","?","?","Yes","?","No","Yes","Yes","?"
"NewsBlur","Yes","Yes","Yes","Yes","Yes","Yes","Yes","RSS0.90,RSS0.92,RSS0.93,RSS0.94,Atom0.3,Atom1.0","Yes","Yes","Yes","?"
"NewsFire","?","?","?","?","?","?","?","?","?","?","?","?"
"OmniWeb","?","?","?","?","?","?","Yes","?","?","Yes","?","?"
"OperaMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","RDF,Newsgroup","?","Yes","Yes","?"
"PegasusMail","?","Yes","Yes","Yes","?","?","?","?","?","?","?","?"
"Protopage","Yes","Yes","Yes","Yes","Yes","Yes","Yes","RSS0.90,RSS0.92,RSS0.93,RSS0.94,Atom0.3,Atom1.0","?","Yes","Yes","?"
"Pulse","?","?","?","?","?","?","?","?","?","?","?","?"
"Quiterss","?","?","Yes","Yes","?","?","Yes","?","?","?","Yes","?"
"Rhythmbox","?","?","?","?","Yes","?","?","?","No","?","Yes","?"
"RSSBandit","?","?","?","?","?","?","?","?","No","?","?","?"
"RSSGuard","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Gmail,JSONfeeds,Inoreader,NextcloudNews,TinyTinyRSS,FreshRSS,otherservicesviaGoogleReaderAPI","GoogleReaderAPIpluginonly","Yes","Yes","Yes"
"RSSOwl","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Newsgroup","No","Yes","Yes","?"
"Safari","Yes","?","Yes","Yes","?","?","Yes","?","No","Yes","Yes","?"
"Sage","?","Yes","Yes","Yes","No","No","Yes","?","?","Yes","Yes","?"
"SeaMonkeyMail&Newsgroups","?","Yes","Yes","Yes","?","?","Yes","Newsgroup","?","Yes","Yes","?"
"Songbird","?","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","?"
"Shiira","?","?","?","?","?","?","Yes","?","?","Yes","?","?"
"Sleipnir","?","?","?","?","?","?","Yes","?","No","Yes","?","?"
"TheBat!","?","Yes","Yes","Yes","?","?","Yes","?","?","Yes","?","?"
"TheOldReader","Yes","?","?","Yes","Yes","?","Yes","PubSubHubbub","No","Yes","Yes","?"
"TinyTinyRSS","?","?","?","Yes","?","?","Yes","?","No","?","Yes","?"
"Winamp","?","?","?","?","Yes","?","?","?","?","Yes","Notificationonly","?"
"WindowsLiveMail","?","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","Yes","?"
"Zimbra","?","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?"
"Zune","?","?","?","?","Yes","?","?","?","?","?","?","?"
"Client","feedURIscheme","RSS0.91","RSS1.0","RSS2.0","RSSenclosure","MRSS","Atom","otherstandard","Deltaupdates","IPv6","Autoupdates","HTTPBasicAuth"
