"keyword","feature,exampleusage"
"checked,unchecked","InC#,checkedstatementblocksorexpressionscanenablerun-timecheckingforarithmeticoverflow."
"get,set","C#implementspropertiesaspartofthelanguagesyntaxwiththeiroptionalcorrespondinggetandsetaccessors,asanalternativefortheaccessormethodsusedinJava,whichisnotalanguagefeaturebutacoding-patternbasedonmethodnameconventions."
"goto","C#supportsthegotokeyword.Thiscanoccasionallybeuseful,forexampleforimplementingfinitestatemachinesorforgeneratedcode,buttheuseofamorestructuredmethodofcontrolflowisusuallyrecommended(seecriticismofthegotostatement).Javadoesnotsupportthegotostatement(butgotoisareservedword).However,Javadoessupportlabeledbreakandcontinuestatements,whichincertainsituationscanbeusedwhenagotostatementmightotherwisebeused.switch(color){caseColor.Blue:Console.WriteLine(""Colorisblue"");break;caseColor.DarkBlue:Console.WriteLine(""Colorisdark"");gotocaseColor.Blue;//...}"
"lock","InC#,thelockkeywordisashorthandforsynchronizingaccesstoablockofcodeacrossthreads(usingaMonitor),wrappedinatry...finallyblock."
"out,ref","C#hassupportforoutputandreferenceparameters.Theseallowreturningmultipleoutputvaluesfromamethod,orpassingvaluesbyreference."
"strictfp","Javausesstrictfptoguaranteetheresultsoffloatingpointoperationsremainthesameacrossplatforms."
"switch","InC#,theswitchstatementalsooperatesonstringsandlongs.Fallthroughisallowedforemptystatementsandpossiblevia'gotocase'forstatementscontainingcode.Java'sswitchstatementoperatesonstrings(sinceJava7)butnotthelongprimitivetype,andfallsthroughforallstatements(excludingthosewith'break')."
"synchronized","InJava,thesynchronizedkeywordisashorthandforsynchronizingaccesstoablockofcodeacrossthreads(usingaMonitor),wrappedinatry...finallyblock."
"throws","Javarequireseverymethodtodeclarethecheckedexceptionsorsuperclassesofthecheckedexceptionsthatitcanthrow.Anymethodcanalsooptionallydeclaretheuncheckedexceptionthatitthrows.C#hasnosuchsyntax.publicintreadItem()throwsjava.io.IOException{//...}"
"using","InC#,usingcausestheDisposemethod(implementedviatheIDisposableinterface)oftheobjectdeclaredtobeexecutedafterthecodeblockhasrunorwhenanexceptionisthrownwithinthecodeblock.//Createasmallfile""test.txt"",writeastring,//...andcloseit(evenifanexceptionoccurs)using(StreamWriterfile=newStreamWriter(""test.txt"")){file.Write(""test"");}InJavaSE7asimilarconstructhasbeenaddedcalledtry-with-resources:try(BufferedReaderbr=newBufferedReader(newFileReader(path))){returnbr.readLine();}"
