"English","Malay","Indonesian"
"gangster","samseng,gengster","geng,premanfromDutchvrijman(lit.free-man),gangsterfromEnglish"
"garage","garaj","garasiinfluencedbyDutchpronunciation"
"garrison","garrison","garnisunfromDutchgarnizoen"
"gasoline","petrol(fromBritishEnglishpetrol)","bensin(fromDutchBenzine)"
"gear","gear","rodagigiinfluencedbyDutchtandwiel,lit.""toothwheel"""
"gearbox","kotakgear","persnelingfromDutchversnelling,girboks,transmisi"
"general(military)","jeneral","jenderalfromDutchgeneraal"
"ginger","halia","jahejahihalia"
"GlobalPositioningSystem","SistemKedudukanSejagat","SistemPemosisianGlobal"
"goalkeeper","penjagagol/penjagagawang","kiper,penjagagawang"
"golfclub(stick)","kayugolf","stikgolf,pemukulgolf,tongkatgolf"
"government","kerajaanderivedfromraja(king)–usedinMalaysiaandBrunei–inIndonesianmeans""kingdom""","pemerintahderivedfromperintah(order/instruction)–alsousedinSingapore,which,likeIndonesia,isarepublic"
"governor","gabenor,Yangdi-PertuaNegeri(inMalaysianstates)","gubernurfromDutchgouverneur"
"gradation","pemeringkatan","gradasi,pemberiantingkat(pemeringkatan)"
"graduate","siswazah,sarjana","lulusan,sarjana"
"grandfather","datuk","kakek,opafromDutch"
"Greece","Greeceofrecentuse,Yunani","YunanifromArabicYūnānيُونَان"
"grossfinancial","kasar","brutofromDutch,kasar"
"group","sekumpulan,kumpulan,grup,kelompok","kelompok,grupfromDutchpronunciationofgroep,(per)kumpulan,(per)himpunan"
"guarantee","jaminan","jaminan,garansifromDutchpronunciationofgarantie"
