"Word","Danishmeaning","Norwegianmeaning","Swedishmeaning"
"grine","laugh","cry(bothwordscognateswithEnglish""grin"")","(grina)toweep(colloquial)"
"kuk","mess,problem","penis(vulgar)","penis(vulgar)"
"bolle","sexualintercourse/bun","bun,bowl(however,canbeusedforsexualintercourseinsomeareas)","(bulle)bun"
"rask","healthy/fast","fast(adj.)orlitter(garbage)","fast"
"svær","difficult/obese","large","(svår)difficult"
"kneppe","tofuck","tobutton/unbutton","tobutton"
"pula","(pule)tohavesexualintercourse","(pule)tohavesexualintercourse","topushintoabag"
"flink","nice","skilled,clever","nimble,deft"
"rar","kind,nice","strange,weird","kind"
"selskab/p","company(business,socialgroup)","company(business,socialgroup)","company(socialgroup)"
"bedrift","achievement","company","achievement"
"företag","(foretagende)project,businessventure","(foretak)project,company","company"
"rolig","calm","calm","fun/funny"
