"English","Malay","Indonesian"
"dandruff","kelemumur","ketombe"
"December","Disember","Desember(influencedbyDutchdecember)"
"decimal","perpuluhan(meanstitheinIndonesian)","desimal(fromDutchdecimale),persepuluhan(rare)"
"decree","dekri","suratkeputusan,dekrit(fromDutchdecreet)"
"degree(oftemperature)","darjah","derajat"
"delicious,tasty","lazat,enak,sedap","lezat,enak,sedap"
"democratic","demokratik","demokratis(fromDutchdemokratischnote:""democraticrepublic""(incountrynames)translatesasrepublikdemokratik,suchasinRepublikDemokratikKongo(DemocraticRepublicoftheCongo))"
"department","jabatan('occupation'inIndonesian)","departemen,jurusan(fordepartmentinuniversity)"
"departure","pelepasan","keberangkatan,kepergian"
"depression(psychological)","kemurungan(means""sadness""inIndonesian)","depresi(fromDutchdepressie)"
"deputy","timbalan","wakil,deputi,timbalan(rare)"
"design","rekabentuk","desain,kerangkabentuk,rancangan"
"detail","terperinci","detail,detil(nonstandard),perincian,rinci(nonstandard)"
"dialect","dialek,loghat","dialek,logat"
"detection","pengesana","pelacakan,deteksi"
"different–difference","beza,berbeza–perbezaan","beda,berbeda–perbedaan"
"diocese","kawasanuskup,keuskupan","keuskupan"
"director","pengarah","direkturfromDutch(andFrench)directeur,sutradara(ofafilm)fromSanskrit(throughJavanese),pengarah(foranevent)"
"discount","diskaun,rebat,potonganharga","diskon,rabat,potonganharga,kortingfromDutch,lessfrequent"
"discussion","perbincangan,diskusi","pembicaraan,perbincangan,diskusi(fromDutchdiscussie)"
"disinfectant","penyahjangkit","disinfektan,sucihama"
"domestic","dalamnegara","dalamnegeri,domestik"
"driver","pemandumeansguideinIndonesian","sopirfromFrenchchauffeurthroughDutch,pengemudiformal"
"driver'slicense(U.S.)drivinglicence(UK)","lesenmemandu","suratizinmengemudi(SIM)"
"drugs(illegal)","dadah(colloquialuseinIndonesiameans""goodbye"")","narkoba(anacronymforNARKotikadanOBat-obatanterlArang(narcoticsandillegaldrugs)),NAPZA(lessfrequent–anacronymforNArkotika,PsikotropikadanZat-zatAdiktif(narcotics,psychotropics,andaddictivechemicalsubstances))"
"DutchEastIndies","HindiaTimurBelanda","Hindia-Belanda"
"duty(economics)","duti,cukai","bea,cukai"
