"","Accesscontrollist","FormCAPTCHA","Staffactionlogging","PA/DSScertified"
"ApacheOFBiz","Yes","Yes","Yes","No"
"Batavi","Yes","No","Yes","No"
"BigCommerce","Yes","Yes","Yes","No"
"DrupalCommerce","Yes","add-on","Yes","No"
"KonaKart","Yes","No","Yes","No"
"Magento","Yes","Yes","enterprise","No"
"MivaMerchant","No","Yes","No","Yes"
"nopCommerce","Yes","Yes","Yes","No"
"osCommerce","Yes","No","No","No"
"pimcore","Yes","No","No","No"
"PrestaShop","Yes","Yes","No","No"
"Shopify","Yes","Yes","Yes","No"
"SupaDupa","Yes","No","No","No"
"WooCommerce","No","add-on","No","No"
"ZenCart","Yes","add-on","Yes","No"
"","Accesscontrollist","FormCAPTCHA","Staffactionlogging","PA/DSScertified"
