"","MSHTML","Gecko","WebKit","KHTML","Presto"
"Basicstructure","Basicstructure","Basicstructure","Basicstructure","Basicstructure","Basicstructure"
"form","<3.1","1.0","Yes","Yes","1.0"
"fieldset","<3.1","1.0","Yes","Yes","1.0"
"legend","<3.1","1.0","Yes","Yes","1.0"
"Formcontrolsandlabels","Formcontrolsandlabels","Formcontrolsandlabels","Formcontrolsandlabels","Formcontrolsandlabels","Formcontrolsandlabels"
"button","<3.1","1.0","Yes","Yes","1.0"
"textarea","<3.1","1.0","Yes","Yes","1.0"
"input","<3.1","1.0","Yes","Yes","1.0"
"label","<3.1","3.4.2","1.0","Yes","1.0"
"Listboxes(comboboxes)","Listboxes(comboboxes)","Listboxes(comboboxes)","Listboxes(comboboxes)","Listboxes(comboboxes)","Listboxes(comboboxes)"
"select","<3.1","1.0","Yes","Yes","1.0"
"optgroup","<3.1","1.0","Yes","Yes","1.0"
"option","<3.1","1.0","Yes","Yes","1.0"
