"English","Malay","Indonesian"
"table(setoffactsorfigures)","jadual(Indonesianequivalent,jadwal,means""schedule"")","tabel"
"tank","keretakebal","tank"
"tapwater","airpaip(pipedwater)","airkeran(fromDutchKraan),airledeng(""ledeng""alsomeans""plumbing"",fromDutch""leiding"")"
"tapioca","ubikayuasinIndonesian,understoodasthetubercassavaitself","(tepung)tapioka,tepungsingkong"
"taxi","teksi","taksi"
"teacher","cikgu,guru","guru"
"teacher(religious,Islam)","ustaz,ustad(ultimatelyfromPersianاُستَاذ),ustadzahfemale","ustad,ustadzah"
"team","pasukanusedinIndonesiantorefertosquad(military)","tim"
"telephone","telefon(formerlytalipon)","telepon"
"television","televisyen,TV","televisi(fromDutchtelevisie),TV"
"terms","terma","syarat(fromArabic:syarṭ–شَرْطٌ)"
"terrorist","pengganas(means""rioter""oraggressorinIndonesian)","teroris"
"terrorism","pengganasan","terorisme"
"testicles","buahzakar,testis,buahkeranjut","testis,bijikemaluan,buahzakar(slang,vulgar),kanjut(slang,vulgar)"
"Thailand","NegaraThai,Siam,Thailand","Thailand,Siam,Muangthaiusedinoldscripts"
"TheHague","TheHague","DenHaag(fromDutch)"
"ticket","tiket","tiket,karcis(fromDutchkaartje,usuallyreferstosmall-sizeticket)"
"time","masa,waktu","waktufromArabicالوقت(al-Waqt),masa(canbeusedfor'inaspecificlongperiodoftime'inIndonesian)"
"tire(US)/tyre(UK)","tayar","ban(fromDutch[auto]band)"
"tofu","tauhu","tahu,tofu"
"toilet","bilikair,tandas","toilet,kamarkecil,WC(pronounced'way-say')forwatercloset"
"tornado","putingbeliung","putingbeliung,anginpuyuh,tornado"
"toothpaste","ubatgigi","pastagigiodol(genericizedfromOdol,Germantoothpaste'sbrand)"
"towel","tuala(fromPortuguesetoalha)","handuk(fromDutchhanddoek)"
"trafficjam","kesesakanlalulintas,jam(slang)","kemacetan,macet"
"trafficlight","lampuisyarat(InIndonesian,isyaratmeanssign)","lampulalu-lintas"
"train","keretaapi,tren","kereta(api)"
"transport,transportation","pengangkutan","transportasi(fromAmericanEnglish:'transportation'),pengangkutan,perhubungan(incaseofMinistryofTransportation)"
"transsexual","pondan,bapok(slang),transseksual","transseksual,waria(polite)ashortenedformofwanita-pria,bencong,banci"
"tree","pokokinIndonesianmeans""principal""or""core""or""staple"",inSundanesepokomeansauthentic,e.g.authenticcuisine,pohon","pohon"
"trillion(10)","trilion","trilyun,triliun(fromDutchpronunciation;startingwith10,Indonesianusestheshortscale)"
"truck(US)","Lori(fromBritishEnglish:'lorry')","Truk,prahotofromDutchvrachtauto"
"try","cuba","coba"
"turkey(bird)","ayambelanda","(ayam)kalkun(fromDutchkalkoen)"
"turn","pusing(means'tospin'inIndonesian,commonlyusedtomeandizzyasashortformofkepalapusing),belok","belok,putar"
