"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"VisualGenome","Imagesandtheirdescription","","108,000","images,text","Imagecaptioning","2016","","R.Krishnaetal."
"Berkeley3-DObjectDataset","849imagestakenin75differentscenes.About50differentobjectclassesarelabeled.","Objectboundingboxesandlabeling.","849","labeledimages,text","Objectrecognition","2014","","A.Janochetal."
"BerkeleySegmentationDataSetandBenchmarks500(BSDS500)","500naturalimages,explicitlyseparatedintodisjointtrain,validationandtestsubsets+benchmarkingcode.BasedonBSDS300.","Eachimagesegmentedbyfivedifferentsubjectsonaverage.","500","Segmentedimages","Contourdetectionandhierarchicalimagesegmentation","2011","","UniversityofCalifornia,Berkeley"
"MicrosoftCommonObjectsinContext(COCO)","complexeverydayscenesofcommonobjectsintheirnaturalcontext.","Objecthighlighting,labeling,andclassificationinto91objecttypes.","2,500,000","Labeledimages,text","Objectrecognition","2015","","T.Linetal."
"SUNDatabase","Verylargesceneandobjectrecognitiondatabase.","Placesandobjectsarelabeled.Objectsaresegmented.","131,067","Images,text","Objectrecognition,scenerecognition","2014","","J.Xiaoetal."
"ImageNet","Labeledobjectimagedatabase,usedintheImageNetLargeScaleVisualRecognitionChallenge","Labeledobjects,boundingboxes,descriptivewords,SIFTfeatures","14,197,122","Images,text","Objectrecognition,scenerecognition","2009(2014)","","J.Dengetal."
"OpenImages","ALargesetofimageslistedashavingCCBY2.0licensewithimage-levellabelsandboundingboxesspanningthousandsofclasses.","Image-levellabels,Boundingboxes","9,178,275","Images,text","Classification,Objectrecognition","2017","",""
"TVNewsChannelCommercialDetectionDataset","TVcommercialsandnewsbroadcasts.","Audioandvideofeaturesextractedfromstillimages.","129,685","Text","Clustering,classification","2015","","P.Guhaetal."
"Statlog(ImageSegmentation)Dataset","Theinstancesweredrawnrandomlyfromadatabaseof7outdoorimagesandhand-segmentedtocreateaclassificationforeverypixel.","Manyfeaturescalculated.","2310","Text","Classification","1990","","UniversityofMassachusetts"
"Caltech101","Picturesofobjects.","Detailedobjectoutlinesmarked.","9146","Images","Classification,objectrecognition.","2003","","F.Lietal."
"Caltech-256","Largedatasetofimagesforobjectclassification.","Imagescategorizedandhand-sorted.","30,607","Images,Text","Classification,objectdetection","2007","","G.Griffinetal."
"SIFT10MDataset","SIFTfeaturesofCaltech-256dataset.","ExtensiveSIFTfeatureextraction.","11,164,866","Text","Classification,objectdetection","2016","","X.Fuetal."
"LabelMe","Annotatedpicturesofscenes.","Objectsoutlined.","187,240","Images,text","Classification,objectdetection","2005","","MITComputerScienceandArtificialIntelligenceLaboratory"
"CityscapesDataset","Stereovideosequencesrecordedinstreetscenes,withpixel-levelannotations.Metadataalsoincluded.","Pixel-levelsegmentationandlabeling","25,000","Images,text","Classification,objectdetection","2016","","DaimlerAGetal."
"PASCALVOCDataset","Largenumberofimagesforclassificationtasks.","Labeling,boundingboxincluded","500,000","Images,text","Classification,objectdetection","2010","","M.Everinghametal."
"CIFAR-10Dataset","Manysmall,low-resolution,imagesof10classesofobjects.","Classeslabelled,trainingsetsplitscreated.","60,000","Images","Classification","2009","","A.Krizhevskyetal."
"CIFAR-100Dataset","LikeCIFAR-10,above,but100classesofobjectsaregiven.","Classeslabelled,trainingsetsplitscreated.","60,000","Images","Classification","2009","","A.Krizhevskyetal."
"CINIC-10Dataset","AunifiedcontributionofCIFAR-10andImagenetwith10classes,and3splits.LargerthanCIFAR-10.","Classeslabelled,training,validation,testsetsplitscreated.","270,000","Images","Classification","2018","","LukeN.Darlow,ElliotJ.Crowley,AntreasAntoniou,AmosJ.Storkey"
"Fashion-MNIST","AMNIST-likefashionproductdatabase","Classeslabelled,trainingsetsplitscreated.","60,000","Images","Classification","2017","","ZalandoSE"
"notMNIST","SomepubliclyavailablefontsandextractedglyphsfromthemtomakeadatasetsimilartoMNIST.Thereare10classes,withlettersA-Jtakenfromdifferentfonts.","Classeslabelled,trainingsetsplitscreated.","500,000","Images","Classification","2011","","YaroslavBulatov"
"GermanTrafficSignDetectionBenchmarkDataset","ImagesfromvehiclesoftrafficsignsonGermanroads.ThesesignscomplywithUNstandardsandthereforearethesameasinothercountries.","Signsmanuallylabeled","900","Images","Classification","2013","","SHoubenetal."
"KITTIVisionBenchmarkDataset","Autonomousvehiclesdrivingthroughamid-sizecitycapturedimagesofvariousareasusingcamerasandlaserscanners.","Manybenchmarksextractedfromdata.",">100GBofdata","Images,text","Classification,objectdetection","2012","","AGeigeretal."
"Linnaeus5dataset","Imagesof5classesofobjects.","Classeslabelled,trainingsetsplitscreated.","8000","Images","Classification","2017","","Chaladze&Kalatozishvili"
