"Name","Maximumhostcores/CPUs","Maximumhostmemory","Maximumhostdiskvolumesize","MaximumnumberofguestVMrunning","MaximumnumberoflogicalCPUperVMguest","MaximumamountofmemoryperVMguest","MaximumnumberofSCSI+IDEdisksperVMguest","MaximumdisksizeperVMguest"
"Containers,orZones","Notheoreticallimit(largestSPARChas384physicalcores)","32TB(largestSPARC)","Nolimit","8191","Nolimit","Nolimit","Nolimit","Nolimit"
"VMwarePlayer15.0","Nolimit","Nolimit","Nolimit","Nolimit","16","4GB(32-bit);64GB(64-bit)","?","8TB"
"VMwarevSphereHypervisor(ESXi4.1)","160logicalcores","1TB","2TBminus512bytes","320","8","255GB","4IDE;60SCSI","2TBminus512bytes"
"VMwarevSphereHypervisor(ESXi5.0)","160logicalcores","2TB","64TB","512","32","1TB","4IDE;60SCSI","2TBminus512bytes"
"VMwarevSphereHypervisor(ESXi5.5)(free)","16NUMANodes/320logicalCPUs","4TB","Dependingonfilesystem","512","8","1TB","4IDE;60SCSI;120SATA","62TB"
"VMwarevSphereHypervisor(ESXi5.5)","16NUMANodes/320logicalCPUs","4TB","Dependingonfilesystem","512","64","1TB","4IDE;60SCSI;120SATA","62TB"
"VMwarevSphereHypervisor(ESXi6.7)","16NUMANodes/768logicalCPUs","16TB","Dependingonfilesystem","1024","256","6128GB","4IDE;256SCSI;120SATA;60NVMe","62TB"
"VMwarevSphereHypervisor(ESXi7.0)","16NUMANodes/896logicalCPUs","24TB","Dependingonfilesystem","1024","768","24TB","4IDE;256SCSI;120SATA;60NVMe","62TB"
"VirtualBox","Nolimit","Nolimit","Nolimit","Nolimit","32","Nolimit","4IDE;nolimitforSATA,SCSI,SAS","GUI:2TBCommandline:nolimit"
"MicrosoftHyper-VServer2008R2","64cores/8CPUs","1TB","Nolimit","384","4","64GB","4IDE;256SCSI","2TB"
"MicrosoftHyper-VServer2012","320cores/64CPUs","4TB","Nolimit","1024","64","1TB","4IDE;256SCSI","64TB"
"MicrosoftHyper-VServer2016","512cores/320CPUs","24TB","Nolimit","1024","240","12TB","4IDE;256SCSI","64TB"
"Xen","4095CPUs","16TB","Nolimit","Nolimit","512PV/128HVM","512GBPV/1TBHVM","?","?"
"XCP-ng","4095CPUs","16TB","Nolimit","Nolimit","512PV/128HVM","512GBPV/1TBHVM","?","?"
"XenServer","4095CPUs","16TB","Nolimit","Nolimit","512PV/128HVM","512GBPV/1TBHVM","?","?"
