"Symbol","Languages"
"C","FortranItoFortran77(Cincolumn1)"
"REM","BASIC,Batchfiles"
"::","Batchfiles,COMMAND.COM,cmd.exe"
"NB.","J;fromthe(historically)commonabbreviationNotabene,theLatinfor""notewell""."
"⍝","APL;themnemonicistheglyph(jotoverstruckwithshoe-down)resemblesadesklamp,andhence""illuminates""theforegoing."
"#","BourneshellandotherUNIXshells,Cobra,Perl,Python,Ruby,Seed7,WindowsPowerShell,PHP,R,Make,Maple,Elixir,Julia,Nim"
"%","TeX,Prolog,MATLAB,Erlang,S-Lang,VisualProlog"
"//","ActionScript,C(C99),C++,C#,D,F#,Go,Java,JavaScript,Kotlin,ObjectPascal(Delphi),Objective-C,PHP,Rust,Scala,SASS,Swift,Xojo"
"'","Monkey,VisualBasic,VBScript,SmallBasic,Gambas,Xojo"
"!","Fortran,BasicPlus,Inform,PickBasic"
";","Assemblyx86,AutoHotkey,AutoIt,Lisp,CommonLisp,Clojure,Rebol,Red,Scheme"
"--","Euphoria,Haskell,SQL,Ada,AppleScript,Eiffel,Lua,VHDL,SGML,PureScript,Elm"
"*","AssemblerS/360(*incolumn1),COBOLItoCOBOL85,PAW,FortranIVtoFortran77(*incolumn1),PickBasic,GAMS(*incolumn1)"
"||","Curl"
"""","Vimscript,ABAP"
"\","Forth"
"*>","COBOL90"
