"Package","License","Windows","OSX","Linux","Marketfocus","Type","Structure"
"24SevenOffice","SoftwareasaService","Yes","Yes","Yes","Lowtomid-market","ERP,CRM,email,collaboration,Projectmanagement,IntegratedVoIP","Web-based"
"Acumatica","ProprietaryandSoftwareasaservice","Yes","Yes","Yes","Mid-market","ERP,CRM,E-Mail,ProjectManagement,Integration,Notification,Employee","Web-based"
"AMEAccountingSoftware","Proprietary","Yes","No","No","Lowtomid-market","Payroll,generalledger,accountsreceivable,accountspayable,Double-entrybookkeepingsystem,SmallBusinessAccounting","Stand-alone"
"AplosSoftware","Proprietary","Yes","Yes","Yes","Lowtomid-marketnonprofitandfaith-basedorganizations","FundAccounting,generalledger,accountsreceivable,accountspayable,Double-entrybookkeepingsystem,nonprofitorganizationaccounting,onlinefundraising","Web-based"
"BaanCorporation","Proprietary","Yes","Yes","Yes","MidtoLow-market","ERP","Stand-aloneandweb-based"
"CGramEnterprise","Proprietary","Yes","Yes","Yes","Lowtomid-market","Financials;ERP;CRM;Manufacturing;Multicompany;Multicurrency;Payroll;Inventorycontrol;accountsreceivable;accountspayable;generalledger","Stand-alone"
"Cheqbook","SoftwareasaService","Yes","Yes","Yes","Lowtomid-market","Double-entrybookkeepingsystem,accountsreceivable,accountspayable,SmallBusinessAccounting,Reporting,BusinessIntelligence,generalledger,BankReconciliation,Automaticbankfeeds,Journalentries,Checkprinting,Onlinepaymentprocessing","Web-based"
"CODA","Proprietary","Yes","No","Yes","Mid-market","GL;AP;AR;Analytics;Integration;etc.","Stand-alone/WebAccess"
"ComarchAltum","Proprietary","Yes","No","No","Lowtomid-market","ERP;GL;Bookkeeping,Multi-Currency,Multi-Language,Double-entrybookkeepingsystem,AP;AR;Analytics;Integration;CRM;BI;e-commerce;Workflow;Retail;POS","Stand-alone/Webaccess"
"FinancialForce.com","SoftwareasaService","Yes","Yes","Yes","Mid-markettoenterprise","ERP,ordering&billing,accountsreceivable,accountspayable,cashmanagement,generalledger,reporting&dashboarding,multi-currency,multi-company,globaltax,analytics","Web-based"
"FlexAccount","Proprietary","Yes","No","No","Mid-tohigh-endmarket","ERP,Manufacturing,Intercompany,Multicurrency,Budgeting,Reporting,Analysis","Stand-aloneandWeb-based"
"FreeAgent","SoftwareasaService","Yes","Yes","Yes","FreelancersandMicrobusiness","Double-entrybookkeepingsystem,smallbusinessaccounting,timetracking,projectmanagement,invoicing,expensemanagement,bankfeeds,payroll,stock,HMRCtaxfiling","Web-based"
"FreshBooks","SoftwareasaService","Yes","Yes","Yes","SmallBusinesses(SmallBusinesses)","Cloudaccountingspecialistforsmallbusinessowners.","Web-based"
"GemAccounts","SoftwareasaService","Yes","Yes","Yes","Lowtomid-market","Generalledger,chartofaccounts,accountsreceivable,accountspayable,double-entrybookkeepingsystem,smallbusinessaccounting,mid-marketenterpriseaccounting,multi-currency,multi-language,multi-user,businessreporting,managementreporting,inventorycontrol,service/projecttracking&billing,payroll,opendataandbackupexports.","Web-based"
"inDinero","SoftwareasaService","Yes","Yes","Yes","Smallbusinesses,Startupcompany","Smallbusinessaccounting,invoices,bookkeeping,taxreturnpreparation,invoices,bankintegration,collaboration","Web-based"
"invoiceit","Proprietary","Yes","No","No","Lowtomid-market","Smallbusinessaccounting,singleentry,accountsreceivable,accountspayable,contactmanagementsystem,inventorymanagement,purchasing,quotations,invoices,scheduler,marketing","Stand-alone"
"MicrosoftDynamicsAX","Proprietary","Yes","No","No","Midsizetohigh-endenterprises","ERP,CRM,intercompany,multicurrency,manufacturing,SCM,e-commerce,businessintelligence","Multi-User/Location,TerminalServer"
"MicrosoftDynamicsGP","Proprietary","Yes","No","No","Small&mid-sizeenterprises(SME)","ERP,SCM,manufacturing,CostAccounting,Double-entrybookkeepingsystem,projectaccounting,Payroll,generalledger,Analytic,accountsreceivable,accountspayable","Multi-User/Location,TerminalServer,RemoteAccess,WebAccess,MobileAccess,CloudHostable"
"MicrosoftDynamics365BusinessCentral","SoftwareasaService","Yes","Yes","Yes","Small&MidsizeEnterprises(SME)","ERP,CRM,Intercompany,Multicurrency,SCM,Manufacturing,CostAccounting,Double-entrybookkeepingsystem,ProjectAccounting,Payroll,generalledger,AccountsReceivable,AccountsPayable,Reporting&AnalysisServices","Web-based"
"MicrosoftDynamicsSL","Proprietary","Yes","No","No","Small&midsizeenterprises(SME)","ProjectManagement,ProjectAccounting,Reporting&AnalysisServices","Multi-User/Location,TerminalServer,WebAccess"
"MYOBAccountRight","Proprietary","Yes","Yes","No","Low-tohigh-endmarket","Smallbusinessandcommercialaccounting.PayrollandPOS","Stand-alone"
"MYOBEXOBusiness","Proprietary","Yes","No","No","Mid-tohigh-endmarket","Larger,morecomplexbusinesses.FullycustomisedERPwithAccounting/Generalledger,CRM,Job&ProjectCosting,POS,AssetManagementandIntercompanyReporting.IntegratedPayroll&HRavailablethroughMYOBEXOEmployerServices","Stand-alone,multi-user/location,terminalserver,remoteaccess"
"NetSuite","SoftwareasaService","Yes","Yes","Yes","Mid-market","CRM,ERP,E-commerce","Web-based"
"NewViews","Proprietary","Yes","No","No","Lowtomid-market","Real-time,E-commerce,Integrated,Multi-user,Payroll(Canada,USA),generalledger,AR,AP,Multi-Currency,SmallBusinessAccounting,InventoryControl,OrderEntry,JobCosting,Non-profitHousingEdition,WorkOrders,Attachments(Scans)","Stand-aloneand/orWebAccess,CloudHostable"
"NolaPro","SoftwareasaServiceandfreeware","Yes","Yes","Yes","Low-tohigh-endmarket",""
"OpenSystemsAccountingSoftware","Proprietary","Yes","Yes","Yes","Lowtomid-market","ERP,SCM,E-commerce,Reporting&BusinessIntelligence","Stand-alone"
"OracleE-BusinessSuite","Proprietary","Yes","Yes","Yes","High-endmarket","ERP","Web-based"
"OracleFusionCloudERP","Proprietary","Yes","Yes","Yes","High-endmarket","ERP,FinancialManagement,SupplyChainManagement,HumanCapitalManagement,EnterprisePerformanceManagement","Web-based"
"OraclePeopleSoftEnterprise","Proprietary","Yes","Yes","Yes","High-endmarket","ERP,FinancialManagement,SupplyChainManagement,HumanCapitalManagement,CustomerRelationshipManagement,EnterprisePerformanceManagement","Web-based"
"Postbooks","Proprietary","Yes","Yes","Yes","Lowtomid-market","ProfessionalServices","Client-server"
"Outright","Softwareasaserviceandfreeware","Yes","Yes","Yes","Entrepreneurs,freelancers,Contractors,Consultants,Smallbusinesses-Low-endmarket","Bookkeeping,Taxes,E-commerce,Reporting&BusinessIntelligence","Web-based"
"PassportSoftware","Proprietary","Yes","No","Yes","Mid-tolow-endmarket","Generalledger,accountsreceivable,Accountspayable,ERP","Stand-alone"
"POSsolutions","Proprietary","Yes","No","No","Newsagencypharmacy","POS","Stand-alone"
"QuickBooksEnterpriseSolutions","Proprietary","Yes","Yes","No","Mid-market","Businessmanagement,Payroll","Stand-alone"
"QuickBooksOnline","Proprietary","Yes","Yes","Yes","Low-endmarket","Accountsreceivable,accountspayable,Double-entryaccounting,SmallBusinessAccounting,Multi-currencyinGlobalversions,automaticbankfeedsanddownloads,standardbusinessreporting,managementreporting,Payroll,incorporatedcreditcardandbank-to-bankPayments,inventoryitems,expensemanagement","Web-based"
"QuickBooksPro/Premier","Proprietary","Yes","Yes","No","Lowtomid-market","Accountsreceivable,accountspayable,Double-entryaccounting,SmallBusinessAccounting,Multi-currencyinGlobalversions,automaticbankfeedsanddownloads,standardbusinessreporting,managementreporting,Payroll,incorporatedcreditcardandbank-to-bankPayments,inventoryitems,expensemanagement,fixedassetdepreciation","Stand-alone"
"SageGroup","Proprietary","Yes","No","No","AccountingFirms","CRM,payroll","Stand-alone"
"SageAccounting","Proprietary","Yes","Yes","Yes","Low-endmarket(forSME)","Accountsreceivable,accountspayable,Double-entryaccounting,SmallBusinessAccounting,Multi-currencyinGlobalversions,automaticbankfeedsanddownloads,standardbusinessreporting,managementreporting,Payroll,incorporatedcreditcardandbank-to-bankPayments,inventoryitems,expensemanagement","Web-based"
"Sage50cloud","Proprietary","Yes","No","No","Low-endtoHighend","Businessmanagement.Financials,Inventory,Manufacturing,JobCosting,POS,Procurement,CRM,BusinessIntelligence,Payroll,HR;featuresandOSsupportdependentoncountry.","Stand-alone"
"SageIntacct","Proprietary","Yes","Yes","Yes","Small&MidsizeEnterprises(SME)","AccountsPayable,AccountsReceivable,CashManagement,Collaborate,ContractandSubscriptionBilling,ContractRevenueManagement,FixedAssets,GeneralLedger,InventoryManagement,Multi-EntityandGlobalConsolidations,OrderManagement,ProjectAccounting,Purchasing,ReportingandDashboards,SalesandUseTax,SpendManagement,TimeandExpenseManagement,VendorPaymentServices","Web-based"
"Sage300ERP","Proprietary","Yes","Yes","Yes","Mid-market","ERP,Multicurrency,Intercompany,Reporting&Analysisservices,Project&Jobcosting,generalledger,accountsreceivable,accountspayable,Inventorycontrol","Stand-aloneandWeb-based"
"SageEnterpriseManagement","Proprietary","Yes","Yes","Yes","Mid-market","ERP,Multicurrency,Intercompany,Reporting&Analysisservices,Project&Jobcosting,generalledger,accountsreceivable,accountspayable,Inventorycontrol","Stand-aloneandWeb-based"
"SAPBusinessByDesign","Proprietary","Yes","Yes","Yes","Small&midsizeenterprises(SME)","ERP,FinancialManagement,SupplyChainManagement,SupplierRelationshipManagement,ProjectManagement,HumanCapitalManagement,CustomerRelationshipManagement,EnterprisePerformanceManagement","Web-based"
"SAPBusinessOne","Proprietary","Yes","No","Yes(Serveronly)","Small&midsizeenterprises(SME)","ERP,e-commerce","Stand-alone"
"SAPERP","Proprietary","Yes","Yes","Yes","MidsizetoHigh-end","ERP,CRM,SCM,SRM,PLM,GlobalTradeServices(GTS),e-commerce,BusinessIntelligence,MobileBusiness","Stand-aloneandWeb-based"
