"English","Malay","Indonesian"
"faculty","fakulti","fakultas(fromLatin:Facultas),fakulteit(obsolete,fromDutch)"
"facility","kemudahan,fasiliti","kemudahan,fasilitas"
"faction(politics)","puak","faksi,fraksifromDutchfractie"
"factory","kilang('refinery'inIndonesian)","pabrikfromDutchfabriek"
"fan(fanatic)","peminat","penggemar,fansinformal,fromEnglish;Indonesiansalwaysusethepluralform"
"federal","persekutuan","federal"
"federation","persekutuan(relatedto""alliance""inIndonesian)","federasifromDutchfederatie,serikat,persekutuan"
"fermentation","fermentasi,peragian","fermentasi,peragian,penapaian"
"financial","kewangan","keuangan,finansialfromDutchfinancieel"
"Finland","Finland","Finlandia"
"firefightersquad","bomba","pemadamkebakaran(lit.fireextinguisher),branwir(fromDutchbrandweer(firedefense))"
"flashdrive","pemacukilat","penggerakkilat"
"floor,level(storey)","tingkatmaybeusedinIndonesiantoexpressthenumberofstoreys/levelsabuildinghas,e.g.a5-storeybuilding=gedungbertingkat5,ortoemphasizeBritishfloornumbering,e.g.tingkatsatumeansfirstfloor(UK),secondfloor(US)inbothlanguages,aras(usedtoemphasizeAmericanfloornumbering,e.g.arasdua=tingkatsatu","lantaialsoreferstofloorasgroundsurfaceinbothlanguages,emphasizesAmericanfloornumbering,tingkatemphasizesBritishfloornumbering,e.g.lantaidua=tingkatsatu"
"football","bolasepak","sepakbola"
"force(physics)","daya","gaya"
"form(document)","borang","formulirfromDutchformulier,borang(nonstandard)"
"free(ofcharge)","percumameans""worthless""inIndonesian","gratisfromDutch,cuma-cuma,cecuma(nonstandard)"
"fungus","kulat,fungus","fungi"
"furniture","perabotrumah,perkakasrumah(InIndonesian,perkakasmeansequipment)","mebelfromDutchmeubelen,perabotrumahtangga,furnitur"
"fusion","pelakuran","fusi,penggabungan,peleburan"
