"ADChub","Windows","Linux","OSX","Other"
"ADCH++","Yes","Yes","No","No"
"ADCH++GUI","Yes","Yes","No","AnyPythonenabledplatform"
"DSHub","Yes","Yes","Yes","AnyJavaenabledplatform"
"FlexHub","Yes","Yes","No","No"
"Luadch","Yes","Yes","Yes","RaspberryPi,SynologyNAS,anyGCCenabledplatform"
"Nexthub","Yes","?","No","AnyC#enabledplatform"
"uhub","Yes","Yes","Yes","BSD,Haiku,OpenWrt,Solaris"
"Erlhub","Yes","Yes","Yes","AnyErlangenabledplatform"
"Qhub","?","?","?","?"
"StarletADCHub","No","No","No","OpenVMS"
"Starhub","Yes","Yes","Yes","AnyJavaenabledplatform"
"RusHub","Yes","Yes","Yes","FreeBSD,Solaris"
"ADChub","Windows","Linux","OSX","Other"
