"English","StandardMalay","Indonesian"
"Cairo","KaherahfromArabicAl-Qahirah","Kairo"
"Cambodia","Kemboja","Kamboja"
"Cameroon","Cameroon","Kamerun(fromDutchKameroen)"
"camp","kem","kamp(reflectsDutchpronunciation)"
"campaign","kempen","kampanye(fromDutchcampagne(aFrenchloanword))"
"can(tobeable)","boleh,dapat","bisa,dapat,"
"cancer","kanser,barah","kankerfromDutch"
"capacitor","pemuat,kapasitor","kondensator,kapasitor"
"capitalcity","ibunegara(means""firstlady""inIndonesia","ibukota"
"car","kereta(meanscarriageinIndonesian,commonlyusedasashorthandforkeretaapi,whichmeanstrain.MalayfollowedEnglishderivationofcarwhichwasacontractionofhorselesscarriage)","mobil(fromDutch/mid-Englishautomobile)"
"carburetor","karburetor","karburator"
"card","kad","kartufromDutchkaart"
"career","kerjaya,karier","karier"
"Caribbean","Caribbean","Karibia"
"carrot","lobakmerah","wortel(fromDutch),lobakmerah"
"case","kes","kasus(fromLatin:casus),hal"
"cash","wangtunai","uangtunai,kas"
"cashier","juruwang","1.kasir,fromDutchkassier2.juruuang(rare)"
"cavalry","pasukanberkuda","pasukanberkuda,kavaleri"
"cement","simen","semen"
"censor","tapisan(means""filter""inIndonesian)","sensor"
"census","banci(means""transvestite""inIndonesian)","sensus,cacah,banci(virtuallyneverusedinIndonesia,listedbyKBBI)"
"centipede","lipan","kelabang,lipan"
"central","pusat","pusat,sentral,tengah"
"chaos(theory)","teorikekacauan","teorikekacauan"
"chilli","cili,lada('pepper'inIndonesian,alsoinMalay),cabai(usedinthenorthernstatesofMalaysia)","cabai,lombok(fromJavanese:lombok)"
"China","China,Cina","1.Tionghoa(standardtermforChinesepeople,fromSouthernMinChinese:Tiong-hôa–??),2.Tiongkok(RepublikRakyatTiongkokandRepublikTiongkok:officialnameofthePeople'sRepublicofChinaandRepublicofChina,fromSouthernMinChinese:Tiong-kok–??),3.Cina(standard,stillincommonusebutdiscouragedduetoracistconnotations.SeeShinaforfurtherinformation.),4.China(nonstandard)"
"Christmas","Krismas,Natal","NatalfromPortuguese"
"cinema","panggungwayangbergambar(morepopularlyabbreviatedaspawagam),panggungwayang","1.bioskopfromDutchbioscoop,2.sinema"
"circuit","litar","sirkuit"
"city","bandar,bandaraya(bigcity),kota","kota,bandar(acoastalorportcityinIndonesian)"
"civil","awam(InIndonesian,itmeans""non-expert""),sivil","sipil"
"claim","tuntutan(means""sue""inIndonesian)","klaimtagihan"
"clarification","klarifikasi,penjelasan,penjernihan(tomakesomething,e.g.water,clearinIndonesian)","klarifikasi,penjelasan"
"clause(legal)","fasal(equivalentterminIndonesianispasal)","ayat,klausul"
"club(association)","kelab","klub,perkumpulaninfrequent"
"coach(carriage)","koc","gerbong"
"coat","kot","jasfromDutchjas"
"cockroach","lipas","lipas,kecoa(fromSouthernMinChinese:ka-choa?h–??)"
"coin","syilingfromEnglishshillingsilingfromEnglishshilling(rare)matawang,wanglogam,duitfromDutchduit","koin,matauang,uanglogamduitfromDutchduit"
"college","kolej,maktab","kampus,kolese,kolegium"
"Cologne","Cologne","Köln,Koeln"
"Colombia","Colombia","Kolombia"
"comment","ulasan,komen","ulasan(canalsomeanreview,interpretationorcomment),komentar(fromDutchcommentaar)"
"commission","suruhanjaya","komisi(fromDutchcommissie)"
"commissioner","pesuruhjaya","komisaris(fromDutchcommissaris),komisioner"
"committee","jawatankuasa","komite,panitia"
"commonwealth","komanwel","persemakmuran"
"Comoros","Comoros","Komoro"
"company","syarikat","perusahaan,firma,maskapai(fromDutchmaatschappij–almostexclusivelyusedtorefertoairlinecompanies,i.e.maskapaipenerbangan)"
"compiler","penyusun","penyusun,kompilator"
"complaint","aduan","aduan,keluhan,komplain"
"conclusion","kesimpulan;konklusi(rare)","kesimpulan,konklusi(fromDutchconclusie)"
"condensation","pemeluwapan,pengembunan,pencecairan","kondensasi(fromDutchcondensatie),pengembunan"
"conference","persidangan","konferensi(fromDutchconferentie),sidang"
"confirmation","pengesahan","konfirmasi,pengesahanofadocument,kepastianofadecision"
"conflict","pertikaian","konflik,pertentangan,pertikaian"
"Congo","Congo","Kongo"
"conservation(movement)","pemuliharaan,konservasi(rare)","konservasi,pelestarian(ofanimalsandplants)"
"constitutionofacountry","perlembagaan","undang-undangdasar(influencedbyDutchgrondwet(""basiclaw"")),konstitusi(fromDutchconstitutie)"
"construction","pembinaan","pembangunan(ofbuilding),pembinaan(ofmoral),konstruksi(fromDutchconstructie)"
"consumption","perbelanjaan","konsumsi(fromDutchconsumptie),pemakaian,penggunaan"
"contamination","pencemaran","pencemaran,kontaminasi"
"continuous","selanjar","berkesinambungan,berlanjut,kontinu"
"conversion","penukaran(means""exchange""inIndonesia)","konversi(fromDutchconversie),perubahan"
"corporation","perbadanan","korporasi(fromDutchcorporatie),badanusaha,perusahaan"
"corruption","rasuah(fromArabic:Rashwahmeaning'bribe'),korupsi(rare)","korupsi(fromDutchcorruptie),rasuah(fromArabic:Rashwahmeaning'bribe')(non-standard)"
"CostaRica","CostaRica","KostaRika"
"Côted'Ivoire","IvoryCoast,Côted'Ivoire","PantaiGading"
"counter","kaunter","loketfromDutch,konter"
"country","negara","negara,negeriinMalaysia,negeriusuallyreferstoastatewithinafederation"
"court","mahkamah","pengadilan,mahkamah"
"cracker","keropok","kerupuk"
"criminal","penjenayah","penjahat,kriminal,pidana(ahlipidanaiscriminallawexpert)"
"Croatia","Croatia","Kroasia"
"crucial","genting","krusial,penting,genting"
"Cuba","Cuba","Kuba"
"cupboard","almari(fromPortuguesearmário)","lemarialsofromarmário"
"current(adjective,oftime)","semasa","saatini,kini,terkini,aktual(fromDutchactueel)"
