"Format","Languages"
"string_in_string(string,locint,substring)","ALGOL68"
"ContainsStr(string,substring)","ObjectPascal(Delphi)"
"strstr(string,substring)!=NULL","C,C++(char*only)"
"string.Contains(substring)","C#,VB.NET,WindowsPowerShell,F#"
"string.contains(substring)","Cobra,Java(1.5+),Raku,Rust,C++(C++23)"
"string.indexOf(substring)>=0","JavaScript"
"strpos(string,substring)!==false","PHP"
"str_contains(string,substring)","PHP(8+)"
"pos(string,substring)<>0","Seed7"
"substringinstring","Cobra,Python(2.3+)"
"string.find(string,substring)~=nil","Lua"
"string.include?(substring)","Ruby"
"Data.List.isInfixOfsubstringstring","Haskell(GHC6.6+)"
"stringincludesSubstring:substring","Smalltalk(Squeak,Pharo,Smalltalk/X)"
"String.isSubstringsubstringstring","StandardML"
"(searchsubstringstring)","CommonLisp"
"(not(null(string-indexsubstringstring)))","ISLISP"
"(substring?substringstring)","Clojure"
"!StringFreeQ[string,substring]","Mathematica"
"index(string,substring,startpos)>0","Fortran,PL/I"
"index(string,substring,occurrence)>0","PickBasic"
"strings.Contains(string,substring)","Go"
"string.find(substring)!=string::npos","C++"
"[stringcontainsString:substring]","Objective-C(NSString*only,iOS8+/OSX10.10+)"
"string.rangeOfString(substring)!=nil","Swift(Foundation)"
"∨/substring⍷string","APL"
