"Feature","Ace","CodeMirror","CodeJar","Orion","CodePress","CodeTextArea","EditArea","Helene","markItUp!","MDK-Editor","MonacoEditor(VisualStudioCode)"
"Implementation","","nestablefullparsers","","pattern-basedparser","pattern-basedparser","","","","","parsers",""
"Syntaxhighlight","Over110languages","129languages","Yes","mixedmode:HTML+JavaScriptandCSS,PHP,EJS;singlemode:JavaScript,Java,JSON,CSS,Python,Ruby,XML,YAML(pluggable)","limitedmixedmode:HTML+JavaScript(noCSS),PHP+HTML(noJavaScriptorCSS),Java,Perl,SQL","onlykeywords","onlyonelanguageatatime:Perl,PHP,CSS,Javascript,Python,HTML,XML,VB,C,CPP,SQL,Pascal,Basic,Brainf*ck","PHP","No","mixedmode:PHP+HTML+JavaScript+CSS,single-mode:PHP,Javascript,CSS,XML;extensible","Hundredsoflanguages"
"Syntaxchecking","HTML,CSS,JavaScript(usingJSHint)","Some","No","JavaScript(usingJSLint)","No","","","No","","HTML,JavaScript(usingJSLint)","HTML,CSS,JavaScript,TypeScript"
"Tabsupport","Yes","Yes","Yes","Yes","Some","","Yes","","","Yes","Yes"
"Indent,newlinekeepslevel","optionalsettingthatisonbydefault","Yes","Yes","Yes","verylimited","No","Yes","N/A(can'tpressEnter)","No","Yes","Yes"
"Indent,syntax","Yes","Yes","Yes","Yes","","","No","","","No","No"
"Indent,selectedblock","yes,includingShift+Tab","eitherautomatically,orblock-levelindent/unindent","Yes","yes,includingShift+Tab","No","","yes,includingShift+Tab","","","yes,includingShift+Tabandusingcontextmenu","yes,includingShift+Tab"
"Bracketmatching","Yes","Yes","No","Yes","animplementationexistswithmouse-hoverbracketmatching","Ctrl+B;noanglebracketmatching","","","No","matchingbracket([{<>}])alwayshighlighted","Yes"
"XMLmatchingtaghighlight","Yes","Yes","No","No","No","","","","","Yes","Yes"
"Codefolding","Yes","Yes","No","Some","No","No","No","No","No","No","Yes"
"Codesnippets","Yes","throughAPI/add-on","","Some","type'for'or'if'thenTab","No","Yes","No","Yes","JavaScript",""
"Codesuggestion","Yes","example","","Yesthroughesprimacontentassistplugin","No","","yes","","No","CSS,HTML,JavaScript)","Yes"
"Togglesyntaxhighlighton/off","Yes","Yes","","No","","","lastexampleindemo","","N/A","textmode",""
"Keyboardshortcuts","AllCommonShortcuts&CustomKeybindings","fullyconfigurable","","Yes","","","somecommonused:Ctrl+f,Ctrl+g,Ctrl+z,Ctrl+y","","Yes","Allkeycombos(exceptF1inIE7)canbeboundtoshortcuts","Yes"
"Linenumbers","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","supportsmouseselection","Yes"
"Search&replace","regexsupported","viaAPI","No","Yes","","No","toolbarbutton","","","hasAPIforthestudio","Yes"
"Spellchecking","addonforcontextmenu","No","No","No","browser-based","none","browser-based","none","browser-based","No",""
"Toolbar","Butcommandlineconsole","No","No","No","","No","Yes","No","Yes","No",""
"Visualstyling","Fullytheme-able","CSS-basedthemes","Yes","Yes","","font-typeandfont-size","","","","5stylestochoosefrom,having2font-sizes","Yes"
"Undo/Redo","Yes","Yes","Yes","Yes","Yes","","Yes","","","DifferentialUndo","Yes"
"Multiplecursors/Blockselection","Multiplecursors","Yes","No","Yes","No","No","No","No","No","No",""
"IndentGuides","Yes","No","No","No","No","No","No","No","No","No",""
"Inlinewidgets","Yes","Yes","No","No","No","No","No","No","No","No",""
"NonUScharsetsupport","Yes","Yes","Yes","Yes","","","","","","No",""
"Diffeditor","","","","","","","","","","","Yes"
