"Afrikaans","Dutch","English"
"Verstaanjymy?","Verstajijmij?/Begrijpjeme?","Doyouunderstandme?"
"Ekverstaandit","Ikverstadit/Ikbegrijphet","Iunderstandit"
"Watisjounaam?","Hoeheetje?Watisjouwnaam?","Whatisyourname?"
"Watmaakjy?","Watbenjeaanhetdoen?CompareDutchWatmaakjij?(Whatareyoumaking?)","Whatareyoudoing?"
"Ditmaakmyseer","Hetdoetmepijn/Ditdoetmijzeer","Ithurtsme"
"Ekhouvanhaar","Ikvindhaarleuk/Ikhouvanhaar","Ilikeher"
"Ekisliefvirjou","IkhouvanjouCompareDutchIkbenliefvoorjou(Iamsweettoyou)","Iloveyou"
"Ekhetjoulief","Ikhebjoulief/Ikhouvanjou","Iloveyou"
"Isjyhonger?","Hebjehonger?/Hebjijhonger?","Areyouhungry?"
"Diéboekisvirjou","Ditboekisvoorjou","Thisbookisforyou"
"Ekhetalgeëet","Ikhebalgegeten","Ihavealreadyeaten"
"Komjysaammetons?","Komjemetonsmee?/Komjesamenmetonsmee?","Areyoucomingwithus?"
"Stemjysaam?","Benjehetdaarmeeeens?Stemjijdaarmeein?","Doyouagree?"
"Stemjy[daartoe]in?","Stemjijdaarmeein?/Gajedaarmeeakkoord?","Doyouagree[toit]?"
"Oopvanaand","Openvanavond","Opentonight"
"Hullewoonhier","ZewonenhierDialectal:Hulliewonenhier","Theylivehere"
"Kanonsdiemiddestadbesoek?","Kunnenwedebinnenstadbezoeken?BelgiumDutch:Kunnenwedemiddenstadbezoeken?","Canwevisitthecitycentre?"
"Ekishalfpaddaar","Ikbenhalverwege","Iamhalfwaythere"
"Hierdievrugproe/smaaksleg","Dezefruitisnietlekker/Dezefruitsmaaktslecht","Thisfruittastesbad"
"Hetjydatgesê?","Hebjedatgezegd?Zeijedat?","Didyousaythat?"
"Hyhetopdielughaweaangekom","Hijisopdeluchthavenaangekomen","Hehasarrivedattheairport"
"Moenieditvergeetnie!","Vergeethetniet!","Don'tforgetit!"
"Asditreën,saldiésambreeljoubeskerm","Alshetregent,zaldezeparaplujoubeschermen*","Ifitrains,thisumbrellawillprotectyou"
"’nLemoenis’noranjekleurigevrug","Eensinaasappeliseenoranjekleurigevrucht","Anorangeisanorange-colouredfruit"
"’nLemmetjieis’nkleingroensitrusvrug","Eenlimoeniseenkleinegroenecitrusvrucht","Alimeisasmallgreencitrusfruit"
"Onshoudaarvanomtebraai","WijhoudenervanomtebarbecueënCompareDutch:braden(toroast),Wijhoudenervanomtebraaien(braaienisarecentloanwordfromAfrikaans)**","Welovetobarbecue"
"Ekkanditnieglonie","Ikkanditnietgeloven","Icannotbelieveit"
