"Format","Languages","Baseindex"
"string[i]","ALGOL68,APL,Julia,Pascal,ObjectPascal(Delphi),Seed7","1"
"string[i]","C,C++,C#,Cobra,D,FreeBASIC,Go,Python,PHP,Ruby,WindowsPowerShell,JavaScript,APL","0"
"string{i}","PHP(deprecatedin5.3)","0"
"string(i)","Ada","?1"
"Mid(string,i,1)","VB","1"
"MID$(string,i,1)","BASIC","1"
"string.Chars(i)","VB.NET","0"
"string(i:i)","Fortran","1"
"string.charAt(i)","Java,JavaScript","0"
"string.[i]","OCaml,F#","0"
"string.chars().nth(i)","Rust","0"
"string[i,1]","PickBasic","1"
"String.sub(string,i)","StandardML","0"
"string!!i","Haskell","0"
"(string-refstringi)","Scheme","0"
"(charstringi)","CommonLisp","0"
"(eltstringi)","ISLISP","0"
"(getstringi)","Clojure","0"
"substr(string,i,1)","Perl5","0"
"substr(string,i,1)string.substr(i,1)","Raku","0"
"substr(string,i,1)","PL/I","1"
"string.at(i)","C++(STL)(w/boundschecking)","0"
"lists:nth(i,string)","Erlang","1"
"[stringcharacterAtIndex:i]","Objective-C(NSString*only)","0"
"string.sub(string,i,i)(string):sub(i,i)","Lua","1"
"stringat:i","Smalltalk(w/boundschecking)","1"
"stringindexstringi","Tcl","0"
"StringTake[string,{i}]","Mathematica,WolframLanguage","1"
"string@i","Eiffel","1"
"string(i:1)","COBOL","1"
"i?string","APL","0or1"
