"Format","Languages","Ifnotfound"
"InStrRev(«startpos,»string,substring)","VB","returns0"
"instrrev(«startpos,»string,substring)","FreeBASIC","returns0"
"rindex(string,substring«,startpos»)","Perl5","returns−1"
"rindex(string,substring«,startpos»)string.rindex(substring«,startpos»)","Raku","returnsNil"
"strrpos(string,substring«,startpos»)","PHP","returnsFALSE"
"string.rfind(substring«,startpos»)","C++(STL)","returnsstd::string::npos"
"std.string.rfind(string,substring)","D","returns−1"
"string.rfind(substring«,startpos«,endpos»»)","Python","returns−1"
"string.rindex(substring«,startpos«,endpos»»)","Python","raisesValueError"
"rpos(string,substring«,startpos»)","Seed7","returns0"
"string.rindex(substring«,startpos»)","Ruby","returnsnil"
"strings.LastIndex(string,substring)","Go","returns−1"
"string.lastIndexOf(substring«,startpos»)","Java,JavaScript","returns−1"
"string.LastIndexOf(substring«,startpos«,charcount»»)","VB.NET,C#,WindowsPowerShell,F#","returns−1"
"(searchsubstringstring:from-endt)","CommonLisp","returnsNIL"
"[stringrangeOfString:substringoptions:NSBackwardsSearch].location","Objective-C(NSString*only)","returnsNSNotFound"
"Str.search_backward(Str.regexp_stringsubstring)string(Str.lengthstring-1)","OCaml","raisesNot_found"
"string.match(string,'.*()'..substring)string:match('.*()'..substring)","Lua","returnsnil"
"Ada.Strings.Unbounded.Index(Source=>string,Pattern=>substring,Going=>Ada.Strings.Backward)","Ada","returns0"
"string.lastIndexOf(substring«,startpos«,charcount»»)","Cobra","returns−1"
"stringlastIndexOfString:substring","Smalltalk","returns0"
"stringlastsubstringstringstartpos","Tcl","returns−1"
"(⌽<\⌽substring⍷'string')⍳1","APL","returns−1"
"string.rfind(substring)","Rust","returnsNone"
