"Reader","Plaintext","PDF","ePub","HTML","Mobi-Pocket","Fiction-Book(fb2)","DjVu","BroadbandeBook(BBeB)","eReader","Kindle","WOLF","TomeRaider","OpeneBook","ComicBook","OpenXPS"
"AmazonKindle1","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","?","?"
"AluratekLibreEreaderPro","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","?","?"
"AmazonKindle2,DX","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"AmazonKindle3","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"AmazonKindleFire","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"AndroidDevices","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"AppleiOSDevices","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","?"
"AzbookaWISEreader","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Barnes&NobleNook","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","?","?"
"Barnes&NobleNookColor","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","?","?"
"BookeenCybookGen3,Opus","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","?","?"
"COOL-ERClassic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","?","?"
"LinuxOperatingSystem","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","Yes","Yes"
"FoxiteSlick","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","?","?"
"Hanline-ReaderV3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","?","?"
"HanvonWISEreader","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","?","?"
"iRexiLiad","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","?","?"
"IriverStory","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","?","?"
"KoboeReader","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","?"
"NokiaN900","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","?"
"NUUTbook2","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","?","?"
"OLPCXO,Sugar","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","?","?"
"OnyxBoox60","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"MacOSX","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","Yes","?","?"
"TrekStoreBookReaderPyrus","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","?","?","?"
"Windows","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","Yes","Yes","Yes"
"Pocketbook301Plus,302,360°","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"PocketbookAqua","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"SonyReader","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","?","?"
"ViewsonicVEB612","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","?","?"
"WindowsPhone7","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","?","?"
