"","class","protocol","namespace"
"ABAPObjects","classnamedefinition«inheritingfromparentclass».«interfaces:interfaces.»method_and_field_declarationsendclass.classnameimplementation.method_implementationsendclass.","interfacename.membersendinterface.","N/A"
"APL(Dyalog)",":Classname«:parentclass»«,interfaces»members:EndClass",":Interfacenamemembers:EndInterface",":Namespacenamemembers:EndNamespace"
"C++(STL)","classname«:publicparentclasses»{members};","","namespacename{members}"
"C#","classname«:«parentclass»«,interfaces»»{members}","interfacename«:parentinterfaces»{members}","namespacename{members}"
"D","classname«:«parentclass»«,interfaces»»{members}","interfacename«:parentinterfaces»{members}","modulename;members"
"eC","classname«:baseclass»{«defaultmembervaluesassignments»«members»}","","namespacename;"
"Java","classname«extendsparentclass»«implementsinterfaces»{members}","interfacename«extendsparentinterfaces»{members}","packagename;members"
"PHP","classname«extendsparentclass»«implementsinterfaces»{members}","interfacename«extendsparentinterfaces»{members}","namespacename;members"
"Objective-C","@interfacename«:parentclass»«<protocols>»{instance_fields}method_and_property_declarations@end@implementationnamemethod_implementations@end","@protocolname«<parentprotocols>»members@end",""
"Swift","classname«:«parentclass»«,protocols»»{members}","protocolname«:parentprotocols»{members}",""
"Python","classname«(parentclasses)»:Tab?members","","__all__=[member1,member2,...]"
"VisualBasic.NET","Classname«Inheritsparentclass»«Implementsinterfaces»membersEndClass","Interfacename«Inheritsparentinterfaces»membersEndInterface","NamespacenamemembersEndNamespace"
"Xojo","Classname«Inheritsparentclass»«Implementsinterfaces»membersEndClass","Interfacename«Inheritsparentinterfaces»membersEndInterface","ModulenamemembersEndModule"
"Eiffel","classname«inheritparentclasses»membersend","N/A","N/A"
"Perl","packagename;«@ISA=qw(parentclasses);»members1;","","packagename;members"
"Raku","classname«isparentclass«isparentclass...»»«doesrole«doesrole...»»{members}","rolename«doesrole«doesrole...»»{members}","modulename{members}"
"Ruby","classname«<parentclass»membersend","","modulenamemembersend"
"WindowsPowerShell","N/A","N/A","N/A"
"OCaml","classname«parameters»=object«(self)»«inheritparentclass«parameters»«inheritparentclass«parameters»...»»membersend","","modulenamemembers"
"F#","typename«(parameters)»«asthis»=class«inheritparentclass«(parameters)»«asbase»»members«interfaceinterfacewithimplementation«interfaceinterfacewithimplementation...»»end","typename=interfacemembersend","namespacenamemembers"
"Smalltalk","","",""
"JavaScript(ES6)","classname«extendsparentclass»{members}","",""
"ObjectPascal(Delphi)","ClassName=Class«(ClassParent,Interfaces)»private//Privatemembers(includeMethodsandFields)public//Publicmembersprotected//Protectedmemberspublished//Publishedmembersend;","","packagename;members"
"Scala","classConcreteClass(constructorparams)extendsParentClasswithTrait1withTrait2withTrait2{//members}","traitTraitNameextendsOtherTrait1withOtherTrait2withOtherTrait3{//members}","packagename"
"COBOL","CLASS-ID.name«INHERITS«FROM»parentclasses».FACTORY«IMPLEMENTSinterfaces».class-membersENDFACTORY.OBJECT«IMPLEMENTSinterfaces».instance-membersENDOBJECT.ENDCLASSname.","INTERFACE-ID.name«INHERITS«FROM»interfaces».membersENDINTERFACEname.","N/A"
"Cobra","classname«inheritsparentclass»«implementsinterfaces»Tab?members","interfacename«inheritsparentinterfaces»Tab?members","namespacenameTab?members"
"ISLISP","(defclassname(base-class)((x:initform0:accessorget-x:initargx))(:abstractpnil))","",""
