"Blacklistoperator","DNSblacklist","Zone","Listinggoal","Nomination","Listinglifetime","Notes","Collaterallistings","Notifiesuponlisting"
"Abusix","combined","combined.mail.abusix.zone","Aggregatezone","Aggregatezone","AggregateZone","Singlelookupthatcontainsresultsfromblack,exploitandpolicylists","No","No"
"Abusix","black","black.mail.abusix.zone","ListsindividualIPaddressesthathavesentmailtospamtraps,andsomemanually-addedaddressblocks.","Mostlyautomaticwithsomemanualadditions","Forautomated,listings5.6daysafterlastevent.Manualadditionsarepermanent.","","No","No(butplanned)"
"Abusix","exploit","exploit.mail.abusix.zone","ListsIPaddressesbehavinginawaythatindicatestheyarecompromised,infected,proxies,orVPNorTORexitnodes.","Automatic","5.6daysafterlastevent","","No","No(butplanned)"
"Abusix","policy","dynamic.mail.abusix.zone","ListsIPaddressesthatshouldnotbeconnectingdirectlytoMX,suchasresidentialIPaddressesetc.","Automatic","Permanent(untildelistrequested)","ListsrangesthathavegenericortemplatedrDNS.IndividualIPaddressescanbedelistedimmediatelyviaweb.","No","No"
"Abusix","dblack","dblack.mail.abusix.zone","Listsdomainsseeninspamhittingtraps.","Automatic","5.6daysafterlastevent","CanbeusedasanRHSBLandaURIBL.","No","No(butplanned)"
"Abusix","nod","nod.mail.abusix.zone","Listsdomainsthatarenewlyobserved(firstuse).","Automatic","25hours","BasedonhistoricalpassiveDNSdata,listsdomainsfirstseeninthewildwithinthelast25hours).","No","No"
"Abusix","shorthash","shorthash.mail.abusix.zone","ListsshortURLs(SHA-1hashed)seenintraps.","Automatic","5.6daysafterlastevent","Createdtohandlepopularshortenersthataremisusedtohidedomainsfromblacklisting","No","No"
"Abusix","diskhash","diskhash.mail.abusix.zone","ListsURLsofonlinedriveservices(SHA-1hashed)seenintraps.","Automatic","5.6daysafterlastevent","CurrentonlylistingGoogleDriveandYandexDiskURLsthatareusedtoavoiddomainblacklisting.","No","No"
"ARMResearchLabs,LLCGBUdb","Truncate","truncate.gbudb.net","ExtremelyconservativelistofsingleIP4addressesthatproduceexclusivelyspam/malwareasindicatedbytheGBUdbIPReputationsystem.Mostsystemsshouldbeabletosafelyrejectconnectionsbasedonthislist.","Automatic:IPaddressesareaddedwhentheGBUdb""cloud""statisticsreachaprobabilityfigurethatindicates95%ofmessagesproduceaspam/malwarepatternmatchandaconfidencefigurethatindicatessufficientdatatotrusttheprobabilitydata.","Automatic:Continuouswhilereputationstatisticsremainbad.Warning:Producesfalsepositives,andhasnoremedy/removalprocess.IPaddressesaredroppedquicklyifthestatisticsimprove(withinanhour).IPaddressesaredroppedwithin36hours(typ)ifnomoremessagesareseen(deadzombie).","SourcedataisderivedfromaglobalnetworkofMessageSnifferfilteringnodesinreal-time.Truncatedataisupdatedfromstatisticsevery10minutes.Warning:Unreliable,asitproducesfalsepositives.Itisimpossibletofindadditionalinformationortomanuallytroubleshoottheproblem.Itisbasedonresultscreatedbytheirproprietarysoftwarerunningaproprietaryalgorithm.","No","No"
"MetunetResearchLabsMetunet","dnsbl","rbl.metunet.com","SingleIP4addressesthatproduceexclusivelyspamormalware.Mailserviceprovidersareprotected.","Automatic","Lastactivitiesafteroneyearautomaticordelistrequestbymailspam@metunet.com.tr","Removalrequestsarequicklyandmanuallyreviewedandprocessedwithoutfees.","No","No"
"Mailspike/Anubisnetworks","mailspike.org","rbl.mailspike.org","IP4/IPv6addressesthatproducespamormalware.","Automatic","Listisupdateddaily.Reputationisgraduallyrestoredafterdaysofgood/nullactivity","Immediatedelistingviathewebsite","No","No"
"invaluementDNSBL","ivmSIP","Paidaccessviarsync","SingleIPaddresseswhichonlysendUBE.Specializinginsnowshoespamandother'undertheradar'spamwhichevadesmanyotherDNSBLs.HasFP-levelcomparabletoZen.","Automatic(uponreceiptofspamtoarealperson'smailbox),withextensivewhitelistsandfilteringtopreventfalsepositives","Typicallyanautomaticexpiration11daysafterthelastabusewasseen,butwithsomeexceptions","Spamsamplesarealwayskeptonfileforeachlisting.Removalrequestsaremanuallyreviewedandprocessedwithoutfees.","No","No"
"invaluementDNSBL","ivmSIP/24","Paidaccessviarsync","Lists/24blocksofIPaddresseswhichusuallyonlysendUBEandcontainingatleastseveraladdresseswhichareconfirmedemittersofjunkmail.Collaterallistingsarekepttoaminimumbecausesubsectionsareoftencarvedfrom/24listingswhenspammersandlegitsenderssharethesame/24block.","AutomaticonceatleastseveralIPaddressesfromagivenblockareindividuallylistedonivmSIP,withextensivewhitelistsandfilteringtopreventfalsepositives","ExpirationtimeincreasestomanyweeksasthefractionofIPaddressesinthe/24blockinquestionsendingjunkmailincreases.","Removalrequestsarequicklyandmanuallyreviewedandprocessedwithoutfees.","Yes","No"
"invaluementDNSBL","ivmURI","Paidaccessviarsync","Comparabletouribl.comandsurbl.org,thisisalistofIPaddressesanddomainswhichareusedbyspammersintheclickablelinksfoundinthebodyofspammessages","Automatic(uponreceiptofspamtoarealperson'smailbox),withextensivewhitelistsandfilteringtopreventfalsepositives","Typicallyanautomaticexpirationseveralweeksafterthelastabusewasseen","Spamsamplesarealwayskeptonfileforeachlisting.Removalrequestsarequicklyandmanuallyreviewedandprocessedwithoutfees.","No","No"
"SpamandOpenRelayBlockingSystem(SORBS)","dnsbl","dnsbl.sorbs.net","Unsolicitedbulk/commerciale-mailsenders","N/A(Seeindividualzones)","N/A(Seeindividualzones)","Aggregatezone(allaggregatesandwhattheyincludearelistedonSORBS)","Aspercomponentlist","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","safe.dnsbl","safe.dnsbl.sorbs.net","Unsolicitedbulk/commerciale-mailsenders","N/A(Seeindividualzones)","N/A(Seeindividualzones)","""Safe""Aggregatezone(allzonesindnsbl.sorbs.netexcept""recent"",""old"",""spam""and""escalations"")","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","http.dnsbl","http.dnsbl.sorbs.net","OpenHTTPproxyservers","Feederservers","Untildelistingrequested","","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","socks.dnsbl","socks.dnsbl.sorbs.net","OpenSOCKSproxyservers","Feederservers","Untildelistingrequested","","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","misc.dnsbl","misc.dnsbl.sorbs.net","Additionalproxyservers","Feederservers","Untildelistingrequested","ThosenotalreadylistedintheHTTPorSOCKSdatabases","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","smtp.dnsbl","smtp.dnsbl.sorbs.net","OpenSMTPrelayservers","Feederservers","Untildelistingrequested","","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","web.dnsbl","web.dnsbl.sorbs.net","IPaddresseswithvulnerabilitiesthatareexploitablebyspammers(e.g.FormMailscripts)","Feederservers","Untildelistingrequestedorautomatedexpiry","","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","new.spam.dnsbl","new.spam.dnsbl.sorbs.net","HoststhathavesentspamtotheSORBSspamtrapsoradministratorsinthelast48hours","SORBSadministratorsandspamtraps","Renewedevery20minutesbasedinclusioninon'spam.dnsbl.sorbs.net'","","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","recent.spam.dnsbl","recent.spam.dnsbl.sorbs.net","HoststhathavesentspamtotheSORBSspamtrapsoradministratorsinthelast28days","SORBSadministratorsandspamtraps","Renewedevery20minutesbasedinclusioninon'spam.dnsbl.sorbs.net'","","No","ViaSORBSReportManager"
"SpamandOpenRelayBlockingSystem(SORBS)","old.spam.dnsbl","old.spam.dnsbl.sorbs.net","HoststhathavesentspamtotheSORBSspamtrapsoradministratorsinthelastyear","SORBSadministratorandspamtraps","Renewedevery20minutesbasedinclusioninon'spam.dnsbl.sorbs.net'","","No","ViaSORBSReportManager"
