"Cameramodel","Lensmount","Super35?","Aperturesize","Apertureplate","Lensinterface","Groundglass","Framelineglow?"
"Eyemo71K","Eyemomount,manyconversions","No,butconversionsexist","Fullframe","fixed","none","interchangeable","No"
"Arriflex35-2C","ArristandardandArribayonet","No,butconversionsexist","Academyratio","fixed","none","interchangeable","No"
"Arriflex35BL-1","Arribayonet","No","Academyratio,customsizesexist","removable","none","interchangeable","No"
"Panaflex-X","PVmount;","Yes","Fullframe","removable;interchangeableformatmasks","none","interchangeable","Yes"
"Arriflex35BL-2","Arribayonet","No","Academyratio,customsizesexist","removable","none","interchangeable","No"
"PanaflexGoldII","PVmount","Yes","Fullframe","removable;interchangeableformatmasks","none","interchangeable","Yes"
"Arriflex35BL-3","ArriPLorBNCRmount","No","Academyratio,customsizesexist","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","No"
"Arriflex35-3C","ArriPL","No","Academyratio","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","No"
"MoviecamSuperAmerica","ArriPLandBNCRmount","Yes","fullrangeavailable","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Arriflex35BL-4","ArriPL","Yes","Academyratio,customsizesexist","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"PanaflexPlatinum","PVmount","Yes","Fullframe","removable;interchangeableformatmasks","none","interchangeable","Yes"
"PanaflexPanastarII","PVmount","Yes","Fullframe","removable;interchangeableformatmasks","none","interchangeable","Yes"
"Arriflex35BL-4s","ArriPL","Yes","Academyratio,customsizesexist","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Arriflex535","ArriPL","Yes","fullrangeavailable","removable;interchangeableformatmasksandfilterholders","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"MoviecamCompact","ArriPLandBNCRmount","Yes","fullrangeavailable","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Arriflex535B","ArriPL","Yes","fullrangeavailable","removable;interchangeableformatmasksandfilterholders","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Arriflex435","ArriPL,PVmount","Yes","fullrangeavailable","removable;interchangeableformatmasksandfilterholders","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Arriflex435ES","ArriPL,PVmount","Yes","fullrangeavailable","removable;interchangeableformatmasksandfilterholders","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"MoviecamSL","ArriPL","Yes","fullrangeavailable","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Aaton35-III","ArriPL,PVmount,orNikon","Yes","fullframe","fixed","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"PanaflexMillennium","PVmount","Yes","fullframe","removable;interchangeableformatmasks","none","interchangeable","Yes"
"PanaflexMillenniumXL","PVmount","Yes","fullframe","removable;interchangeableformatmasks","none","interchangeable","Yes"
"ArricamLT","ArriPL","Yes","fullframe","removable;interchangeableformatmasksandfilterholders","LensDataSystem(LDS)contacts;integratedLensDataBox(LDB)","interchangeable","Yes"
"ArricamST","ArriPL","Yes","fullframe","removable;interchangeableformatmasksandfilterholders","LensDataSystem(LDS)contacts;integratedLensDataBox(LDB)","interchangeable","Yes"
"Arriflex435Advanced","ArriPL,PVmount","Yes","fullframe","removable;interchangeableformatmasksandfilterholders","LensDataSystem(LDS)contacts;usablewithFEM-2unit","interchangeable","Yes"
"Aaton35-3P","ArriPL,PVmount,orNikon","Yes","fullframe","fixed","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Arriflex235","ArriPL","Yes","fullframe","removable","none,butLensDataArchive(LDA)canbeused","interchangeable","Yes"
"Arriflex435Xtreme","ArriPL,PVmount","Yes","fullrangeavailable","removable;interchangeableformatmasksandfilterholders","LensDataSystem(LDS)contactsandintegratedelectronics","interchangeable","Yes"
