"Format","","Languages","Formatstringsyntax"
"associate(file,string);putf(file,$formatstring$,items)","","ALGOL68","ALGOL"
"Format(item,formatstring)","","VB",""
"sprintf(formatstring,items)","","Perl,PHP,Raku,Ruby","C"
"item.fmt(formatstring)","","Raku","C"
"io_lib:format(formatstring,items)","","Erlang",""
"sprintf(outputstring,formatstring,items)","","C","C"
"std::format(formatstring,items)","","C++(C++20)","Python"
"std.string.format(formatstring,items)","","D","C"
"Format(formatstring,items)","","ObjectPascal(Delphi)",""
"fmt.Sprintf(formatstring,items)","","Go","C"
"printf-voutputstringformatstringitems","","Bashshell","C"
"formatstring%(items)","","Python,Ruby","C"
"formatstring.format(items)","","Python",".NET"
"fformatstring","","Python3",""
"Printf.sprintfformatstringitems","","OCaml,F#","C"
"Text.Printf.printfformatstringitems","","Haskell(GHC)","C"
"formatstringprintf:items","","Smalltalk","C"
"String.format(formatstring,items)","","Java","C"
"String.Format(formatstring,items)","","VB.NET,C#,F#",".NET"
"(formatformatstringitems)","","Scheme(SRFI28)","Lisp"
"(formatnilformatstringitems)","","CommonLisp","Lisp"
"(formatformatstringitems)","","Clojure","Lisp"
"formatstring-fitems","","WindowsPowerShell",".NET"
"[NSStringstringWithFormat:formatstring,items]","","Objective-C(NSString*only)","C"
"String(format:formatstring,items)","","Swift(Foundation)","C"
"string.format(formatstring,items)(formatstring):format(items)","","Lua","C"
"WRITE(outputstring,formatstring)items","","Fortran","Fortran"
"putstring(string)edit(items)(format)","","PL/I","PL/I(similartoFortran)"
"String.format(formatstring,items)","","Cobra",".NET"
"formatformatstringitems","","Tcl","C"
"formatnumbers⍕itemsorformatstring⎕FMTitems","","APL","APL"
"format!(formatstring,items)","","Rust","Python"
