"Name","floppy","ISO","foldersonhost","physicaldisk/device","raw/flat(wholedisk)","raw/flat(partition)","hdd(Parallels)","QCOW(QEMU)","QCOW2(QEMU)","QED(QEMU)","VDI(VirtualBox)","VHD(ConnectixVirtualPC)","VHDX(Hyper-V)","VMDK(VMware)"
"Bochs","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","v3,v4"
"Containers,orZones","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"CooperativeLinux(coLinux)","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"CHARON","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Denali","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"DOSBox","Yes","Yes","Yes","Yes","Yes","?","No","No","DOSBox-Xfork","No","No","No","No","No"
"DOSEMU","?","?","Yes","?","?","?","?","?","?","?","?","?","?","?"
"FreeBSDJail","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"GXemul","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Hercules","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Hyper-V(2008R2)","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Hyper-V(2012)","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No"
"Hyper-V(2012R2)","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No"
"iCoreVirtualAccounts","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"IntegrityVirtualMachines","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"JPC(VirtualMachine)","Yes","Yes","Yes","?","Yes","?","?","?","?","?","?","?","?","?"
"Linux-VServer","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"LynxSecure","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"LXC","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OpenVZ","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OracleVMServerforx86","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OracleVMServerforSPARC(LDoms)","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OVPsim","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ParallelsDesktopforMac","?","?","?","?","?","?","Yes","?","?","?","?","?","?","?"
"ParallelsWorkstation","?","?","?","?","?","?","Yes","?","?","?","?","?","?","?"
"PearPC","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No"
"PikeOS","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"PowerVM","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"QEMU","Yes","Yes","Yes","Yes","Yes","Yes","read-only","Yes","Yes","Yes","Yes","Yes","exceptdifferencetype","Yes"
"QEMUw/kqemumodule","?","?","?","?","?","?","?","Yes","No","No","?","?","?","?"
"QEMUw/qvm86module","?","?","?","Yes","Yes","?","?","Yes","Yes","?","?","?","?","Yes"
"QuickTransit","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ScaleMPvSMPFoundation","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
