"","unary","binary","functioncall"
"ABAPObjects","N/A","N/A","N/A"
"C++(STL)","typeoperatorsymbol(){instructions}","typeoperatorsymbol(typeoperand2){instructions}","typeoperator()(«parameters»){instructions}"
"C#","statictypeoperatorsymbol(typeoperand){instructions}","statictypeoperatorsymbol(typeoperand1,typeoperand2){instructions}","N/A"
"D","typeopUnary(strings)()if(s==""symbol""){instructions}","typeopBinary(strings)(typeoperand2)if(s==""symbol""){instructions}typeopBinaryRight(strings)(typeoperand1)if(s==""symbol"")switch(s){instructions}","typeopCall(«parameters»){instructions}"
"Java","N/A","N/A","N/A"
"Objective-C","N/A"
"Swift","funcsymbol(operand1:type)->returntype{instructions}(outsideclass)","funcsymbol(operand1:type1,operand2:type2)->returntype{instructions}(outsideclass)",""
"Eiffel","op_namealias""symbol"":TYPEdoinstructionsend","op_namealias""symbol""(operand:TYPE1):TYPE2doinstructionsend",""
"Python","def__opname__(self):Tab↹instructionsTab↹returnvalue","def__opname__(self,operand2):Tab↹instructionsTab↹returnvalue","def__call__(self«,parameters»):Tab↹instructionsTab↹returnvalue"
"VisualBasic.NET","SharedOperatorsymbol(operandAstype)AstypeinstructionsEndOperator","SharedOperatorsymbol(operand1Astype,operand2Astype)AstypeinstructionsEndOperator","N/A"
"Xojo","FunctionOperator_name(operandAstype)AstypeinstructionsEndFunction","N/A","N/A"
"PHP","","","function__invoke(«parameters»){instructions}(PHP5.3+)"
"Perl","useoverload""symbol""=>sub{my($self)=@_;instructions};","useoverload""symbol""=>sub{my($self,$operand2,$operands_reversed)=@_;instructions};",""
"Raku","«our«type»»«multi»methodprefix:<symbol>(«$operand:»){instructions...returnvalue;}or«our«type»»«multi»methodpostfix:<symbol>(«$operand:»){instructions...returnvalue;}or«our«type»»«multi»methodcircumfix:<symbol1symbol2>(«$operand:»){instructions...returnvalue;}","«our«type»»«multi»methodinfix:<symbol>(«$operand1:»typeoperand2){instructions...returnvalue;}","«our«type»»«multi»methodpostcircumfix:<()>(«$self:»«parameters»){instructions}"
"Ruby","defsymbolinstructionsexpressionresultinginreturnvalueend","defsymbol(operand2)instructionsexpressionresultinginreturnvalueend","N/A"
"WindowsPowerShell","N/A","N/A","N/A"
"OCaml","N/A"
"F#","staticmember(symbol)operand=expression","staticmember(symbol)(operand1,operand2)=expression","N/A"
"COBOL","N/A","N/A","N/A"
"ISLISP","N/A","N/A","N/A"
