"Server","Creator","Cost(USD)","Publicsourcecode","Softwarelicense"
"BIND","InternetSystemsConsortium","Free","Yes","BSD,MPL2.0for9.11+"
"MicrosoftDNS","Microsoft","IncludedwithWindowsServer","No","Clickwraplicense"
"djbdns","DanielJ.Bernstein","Free","Yes","Publicdomain"
"Dnsmasq","SimonKelley","Free","Yes","GPL"
"SimpleDNSPlus","JHSoftware","$79–$379","No","Clickwraplicense"
"NSD","NLnetLabs","Free","Yes","BSDvariant"
"KnotDNS","CZ.NIC","Free","Yes","GPL"
"PowerDNS","PowerDNS.COMBV/BertHubert","Free","Yes","GPL"
"MaraDNS","SamTrenholme","Free","Yes","BSDvariant"
"pdnsd","ThomasMoestlandPaulRombouts","Free","Yes","GPL"
"Posadis","MeilofVeeningen","Free","Yes","GPL"
"Unbound","NLnetLabs","Free","Yes","BSD"
"YADIFA","EURid","Free","Yes","BSD"
"Secure64DNSAuthority","Secure64","Unpublishedprice","No","Clickwraplicense"
"Secure64DNSCache","Secure64","Unpublishedprice","No","Clickwraplicense"
