"","Hasmember?","Handlerformissingmember","Hasmember?","Handlerformissingmember"
"","Method","Field","Method","Field"
"APL(Dyalog)","3=x.⎕NC'method'","2=x.⎕NC'method'","N/A","N/A"
"ABAPObjects","N/A","N/A","N/A","N/A"
"C++(STL)","N/A"
"Objective-C(Cocoa)","[xrespondsToSelector:@selector(method)]","N/A","forwardInvocation:","N/A"
"Smalltalk","xrespondsTo:selector","N/A","doesNotUnderstand:","N/A"
"C#","(usingreflection)","(usingreflection)","(usingreflection)","(usingreflection)"
"eC","(usingreflection)"
"Java","(usingreflection)"
"D","","","opDispatch()","opDispatch()"
"Eiffel","N/A","N/A","N/A","N/A"
"Python","hasattr(x,""method"")andcallable(x.method)","hasattr(x,""field"")","__getattr__()","__getattr__()"
"VisualBasic.NET","(usingreflection)","(usingreflection)","(usingreflection)","(usingreflection)"
"Xojo","(usingIntrospection)","(usingIntrospection)","(usingIntrospection)","(usingIntrospection)"
"WindowsPowerShell","(usingreflection)","(usingreflection)","(usingreflection)","(usingreflection)"
"F#","(usingreflection)","(usingreflection)","(usingreflection)","(usingreflection)"
"Ruby","x.respond_to?(:method)","N/A","method_missing()","N/A"
"PHP","method_exists(x,""method"")","property_exists(x,""field"")","__call()","__get()/__set()"
"Perl","x->can(""method"")","existsx->{field}","AUTOLOAD",""
"Raku","x.can(""method"")","x.field.defined","AUTOLOAD",""
"OCaml","N/A","N/A","N/A","N/A"
"JavaScript","typeofx.method===""function""","fieldinx","",""
"COBOL","N/A","N/A","N/A","N/A"
