"Format","Filenameextension","Createdby","Introducedin","Basedon","Compression","Integritycheck","Recoveryrecord","Encryptionsupported","Unicodefilenames","Modificationdateresolution","Pre-processing","License"
"Archive(ar)",".a,.ar","CSRG","1971","Original","No","No","No","No","No","1s","?","?"
"cpio",".cpio","BellLabs","1983UnixSystemV","?","No","Partial,selectformatsonly","No","No","No","1s","No","?"
"ShellArchive(sharandmakeself)",".shar,.run","JamesGosling,AlanHewett","19944.4BSD","Original","No","Yes,commonlyMD5","Partial","Partial","Partial","arbitrary(typically1s)","No","Publicdomain(shar1.x-3.x),GPL(shar4.x)"
"TapeArchive(tar)",".tar","BellLabs","1975Version6Unix","?","No","Partial,metadataonly.Fullintegrityprovidablebyfilterssuchasgzip.","No","No","Optional","1s","No","?"
"ExtendedTARformat(pax)",".tar","OpenGroup","2001","Sunproposal+TAR","No","metadata","No","No","Yes","arbitrary(typically1ns)","No","?"
"BagIt","–","TheLibraryofCongress","2007","filesystem","No","Yes","No","No","Yes","No","?","?"
"7z",".7z","IgorPavlov","2000","LZMA,LZMA2,Bzip2,PPMd,Deflate","Yes","Yes,CRC32","No","Yes,AES-256","Yes","100ns","Yes","LGPL,Publicdomain"
"ACE",".ace","MarcelLemke","1998","LZ77","Yes","Yes","Yes","Yes,Blowfish","Yes","2s","?","Proprietarysoftware"
"AFA",".afa","VicenteSánchez-Alarcos","2009","Original","Yes","Yes","Yes","Yes,AESandCAST","Yes","?","?","?"
"ARC",".arc","ThomHenderson(SEA)","1985","?","Yes","CRC16","No","weakXORonly","No","2s","?","?"
"ARJ",".arj","RobertJung","1991","AR001andAR002","Yes","Yes","Yes","weakXORwithinitialconstant","No","?","?","Proprietarysoftware"
"B1",".b1","CatalinaGroupLtd","2011","LZMA","Yes","Yes","No","Yes,AES","Yes","?","?","?"
"Cabinet",".cab","Microsoft","1992Windows3.1","Deflate","Yes","OptionalPKCS7Authenticodesignature","No","Optional(withSDK)","Yes","2s","?","?"
"CompactFileSet",".cfs","JoeLowe(PismoTechnicInc.)","2008","ZIP/LZMA","Yes","Yes","?","Yes","Yes","?","?","Freesoftware"
"CompactPro",".cpt","BillGoodman","1990(as""Compactor"")","Original","Yes","Yes","No","Yes","?","?","?","Proprietarysoftware"
"DiskArchive(DAR)",".dar","DenisCorbin","2002","Original","Yes","Yes","Yes","Yes","Yes","1µs","Yes","GPLv2"
"DGCA",".dgc","Shin-ichiTsuruta","2001","GCA","Yes","Yes","Yes","Yes","Yes","?","?","?"
"FreeArc",".arc","BulatZiganshin","2006","LZMA,PPMd,TTA","Yes","Yes","Yes","Yes,AES,Blowfish,TwofishandSerpent","Yes","?","?","GPLv2"
"LHA(alsoLZH)",".lzh,.lha","HaruyasuYoshizaki","1988","Frozen","Yes","OnlyonrecentLHAreleases","No","No","No","1–2s","?","?"
"LZX",".lzx","JonathanForbesandTomiPoutanen","1995","LZ77","Yes","OnlyonrecentLZXreleases","?","?","?","?","?","?"
"ISOimage",".iso,.img,.ima","ISO9660","1988","HighSierraFormat","No","?","?","?","?","?","?","?"
"SparkFS",".arc","DavidPilling","1989","?","Yes","?","?","?","?","?","?","?"
"WinMountformat",".mou","?","2007","?","Yes","Yes","Yes","Yes","Yes","?","?","Proprietarysoftware"
"MacintoshDiskImage",".dmg","AppleComputer","2001MacOSX","Original","Yes","Yes","?","Yes","?","?","?","?"
"PartitionImage(PartImage)",".partimg","FrançoisDupouxandFranckLadurelle","2000","?","Yes","?","?","?","?","?","?","GPLv2"
"PAQFamily(Severalformats)",".paq#*,.lpaq#*","MattMahoney","2002–2006","Original","Yes","?","?","?","?","?","?","?"
"PEA",".pea","GiorgioTani","2006","Original,Deflatebasedcompression","Yes","YesAdler32,CRC32,CRC64,MD5,SHA1,RIPEMD-160,SHA256,SHA512,Whirlpool","No","YesAuthenticatedEncryption,AES128andAES256inEAXmode","Yessystemdependent","Yesarbitrary","?","Publicdomain"
"PIM",".pim","IliaMuraviev","2004–2008","Original","Yes","Yes","No","No","Yes","No","?","?"
"QuadrupleD",".qda","TakuHayase(akasandman)","1997","?","Yes","?","?","?","?","?","?","?"
"RAR",".rar","EugeneRoshal","1993","Original","Yes","Yes,CRC32,BLAKE2","Yes,Reed–Solomon","Yes,AES-256forRAR5.0archives","Yes,UTF-8","2s,1s,6.5536ms,25.6µsor100ns","Dropped","Proprietarysoftware"
"RK",".rk","MSoftware,Ltd.","2004","Original","Yes","Yes","No","Yes,AES,Square,Twofish","Yes","1s","?","?"
"NuFX",".shk","AndyNicholas","1989","Original","Yes","CRC16","No","No","No","1s","?","?"
"StuffIt(alsoSIT)",".sit","RaymondLau","1987","?","Yes","?","?","Yes","?","?","?","Proprietarysoftware"
"StuffItX(alsoSITx)",".sitx","Aladdin/AllumeSystems","2002","?","Yes","?","Optional","Yes,RC4,Blowfish,AES,DES","Yes","?","?","Proprietarysoftware"
"UltraCompressorII",".uc.uc0.uc2.ucn.ur2.ue2","NicodeVries","1992–1996","LZ77andHuffmancoding","Yes","Yes","Yes","Yes,tripleDES","?","?","?","?"
"WindowsImage",".wim,.swm,.esd","Microsoft","2006","Original","Yes","Yes","No","Partial","Yes","100ns","?","?"
"ZIP",".zip","PhilKatz","1989","Deflate","Yes","Yes","No","Yes,AES","Yes","1–2s,dependingonversion","?","?"
"ZPAQ",".zpaq","MattMahoney","2009","PAQ","Yes","Yes,SHA-1","No","Yes,AES-256","Yes","?","?","MIT,Publicdomain"
