"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"SyntheticFundusDataset","Photorealisticretinalimagesandvesselsegmentations.Publicdomain.","2500imageswith1500*1152pixelsusefulforsegmentationandclassificationofveinsandarteriesonasinglebackground.","2500","Images","Classification,Segmentation","2020","","C.Valentietal."
"EEGDatabase","StudytoexamineEEGcorrelatesofgeneticpredispositiontoalcoholism.","Measurementsfrom64electrodesplacedonthescalpsampledat256Hz(3.9msepoch)for1second.","122","Text","Classification","1999","","H.Begleiter"
"P300InterfaceDataset","DatafromninesubjectscollectedusingP300-basedbrain-computerinterfacefordisabledsubjects.","Splitintofoursessionsforeachsubject.MATLABcodegiven.","1,224","Text","Classification","2008","","U.Hoffmanetal."
"HeartDiseaseDataSet","Attributedofpatientswithandwithoutheartdisease.","75attributesgivenforeachpatientwithsomemissingvalues.","303","Text","Classification","1988","","A.Janosietal."
"BreastCancerWisconsin(Diagnostic)Dataset","Datasetoffeaturesofbreastmasses.Diagnosesbyphysicianisgiven.","10featuresforeachsamplearegiven.","569","Text","Classification","1995","","W.Wolbergetal."
"NationalSurveyonDrugUseandHealth","LargescalesurveyonhealthanddruguseintheUnitedStates.","None.","55,268","Text","Classification,regression","2012","","UnitedStatesDepartmentofHealthandHumanServices"
"LungCancerDataset","Lungcancerdatasetwithoutattributedefinitions","56featuresaregivenforeachcase","32","Text","Classification","1992","","Z.Hongetal."
"ArrhythmiaDataset","Dataforagroupofpatients,ofwhichsomehavecardiacarrhythmia.","276featuresforeachinstance.","452","Text","Classification","1998","","H.Altayetal."
"Diabetes130-UShospitalsforyears1999–2008Dataset","9yearsofreadmissiondataacross130UShospitalsforpatientswithdiabetes.","Manyfeaturesofeachreadmissionaregiven.","100,000","Text","Classification,clustering","2014","","J.Cloreetal."
"DiabeticRetinopathyDebrecenDataset","Featuresextractedfromimagesofeyeswithandwithoutdiabeticretinopathy.","Featuresextractedandconditionsdiagnosed.","1151","Text","Classification","2014","","B.Antaletal."
"DiabeticRetinopathyMessidorDataset","Methodstoevaluatesegmentationandindexingtechniquesinthefieldofretinalophthalmology(MESSIDOR)","Featuresretinopathygradeandriskofmacularedema","1200","Images,Text","Classification,Segmentation","2008","","MessidorProject"
"LiverDisordersDataset","Dataforpeoplewithliverdisorders.","Sevenbiologicalfeaturesgivenforeachpatient.","345","Text","Classification","1990","","BupaMedicalResearchLtd."
"ThyroidDiseaseDataset","10databasesofthyroiddiseasepatientdata.","None.","7200","Text","Classification","1987","","R.Quinlan"
"MesotheliomaDataset","Mesotheliomapatientdata.","Largenumberoffeatures,includingasbestosexposure,aregiven.","324","Text","Classification","2016","","A.Tanrikuluetal."
"Parkinson'sVision-BasedPoseEstimationDataset","2DhumanposeestimatesofParkinson'spatientsperformingavarietyoftasks.","Camerashakehasbeenremovedfromtrajectories.","134","Text","Classification,regression","2017","","M.Lietal."
"KEGGMetabolicReactionNetwork(Undirected)Dataset","Networkofmetabolicpathways.Areactionnetworkandarelationnetworkaregiven.","Detailedfeaturesforeachnetworknodeandpathwayaregiven.","65,554","Text","Classification,clustering,regression","2011","","M.Naeemetal."
"ModifiedHumanSpermMorphologyAnalysisDataset(MHSMA)","Humanspermimagesfrom235patientswithmalefactorinfertility,labeledfornormalorabnormalspermacrosome,head,vacuole,andtail.","Croppedaroundsinglespermhead.Magnificationnormalized.Training,validation,andtestsetsplitscreated.","1,540",".npyfiles","Classification","2019","","S.JavadiandS.A.Mirroshandel"
