"","Lowerhouse","Upperhouse","Upperhouse","Upperhouse","Upperhouse","Lowerhouse","Lowerhouse","","Lowerhouse","Upperhouse","Ratio","Total"
"State","Legislativebranchconstitutionalname","Name","Size","Termlength(years)","Termlimit","Name","Size","Termlength(years)","Termlimit","Filibusterpossible","LowertoUpperhousesize","Total"
"Alabama","AlabamaLegislature","AlabamaHouseofRepresentatives","105","4","None","AlabamaSenate","35","4","None","Yes","3","140"
"Alaska","AlaskaLegislature","AlaskaHouseofRepresentatives","40","2","None","AlaskaSenate","20","4","None","Yes","2","60"
"Arizona","ArizonaLegislature","ArizonaHouseofRepresentatives","60","2","Fourconsecutiveterms","ArizonaSenate","30","2","Fourconsecutiveterms","No","2","90"
"Arkansas","ArkansasGeneralAssembly","ArkansasHouseofRepresentatives","100","2","Threeterms","ArkansasSenate","35","2or4","Two4yearterms","Yes","2.857143","135"
"California","CaliforniaStateLegislature","CaliforniaStateAssembly","80","2","12yearsineitherhouse,combined","CaliforniaStateSenate","40","4","12yearsineitherhouse,combined","No","2","120"
"Colorado","ColoradoGeneralAssembly","ColoradoHouseofRepresentatives","65","2","Fourconsecutiveterms","ColoradoSenate","35","4","Twoconsecutiveterms","No","1.857143","100"
"Connecticut","ConnecticutGeneralAssembly","ConnecticutHouseofRepresentatives","151","2","None","ConnecticutSenate","36","2","None","Yes","4.194444","187"
"Delaware","DelawareGeneralAssembly","DelawareHouseofRepresentatives","41","2","None","DelawareSenate","21","2or4","None","No","1.952381","62"
"Florida","FloridaLegislature","FloridaHouseofRepresentatives","120","2","Fourterms","FloridaSenate","40","2or4","Twoterms","Yes","3","160"
"Georgia","GeorgiaGeneralAssembly","GeorgiaHouseofRepresentatives","180","2","None","GeorgiaSenate","56","2","None","No","3.214286","236"
"Hawaii","HawaiiStateLegislature","HawaiiHouseofRepresentatives","51","2","None","HawaiiSenate","25","4","None","Yes","2.04","76"
"Idaho","IdahoLegislature","IdahoHouseofRepresentatives","70","2","None","IdahoSenate","35","2","None","Yes","2","105"
"Illinois","IllinoisGeneralAssembly","IllinoisHouseofRepresentatives","118","2","None","IllinoisSenate","59","2or4","None","No","2","177"
