"Meaning","Spanish","Portuguese"
"mayor","alcalde<Hisp.Ar.<Arabicalqáḍi<qāḍi","presidentedacâmara(municipal)/prefeito<Lat.praesidens+camara/praefēctus"
"bricklayer,stonemason","albañil<Hisp.Ar.<Arabicalbanní<bannā","pedreiro<Lat.petra"
"potter","alfarero<Hisp.Ar.<Arabicalfaẖẖār<faẖẖār","oleiro<Lat.ollarius"
"vest","chaleco<Alg.Ar.<Turkxileco<yelek","colete<Ita.coletto"
"basil","albahaca<Hisp.Ar.<Arabicalḥabáqa<ḥabaqah","basílico,manjericão<Lat.,uncertainoriginbasilicum,uncertain"
"bean","alubia<Hisp.Ar.<Arabicalubía<al-lubiyaاٌٍىتيا","feijão<Lat.faseolus"
"celery","chirivía<Hisp.Ar.alcaravea<alkarawíyya","aipo<Lat.apium"
"watermelon","sandía<Hisp.Ar.<Arabicsindiyyaضىذيح","melancia<Lat.bilancia<bilanx"
"pistachio","alfóncigo,pistacho<Hisp.Ar.<Arabicfustuq","pistácio,pistacho<Lat<Grepistacium<pistákia"
"cheese-flavouredroll","almojábana<Hisp.Ar.almuǧábbana<ǧubn","pãodequeijo,bolinhadequeijo<Lat.panis,bulla+caseus"
"thrush","zorzal<Hisp.Ar.<Arabiczurzál<zurzir","tordo<Lat.turdus"
"hobby(bird)","alcotán<Hisp.Ar.<Arabicquṭán<qaṭām","ógea<uncertainorigin*maybeO.Fra.hobe"
"mackerel","jurel<Hisp.Ar<Latšuríl<saurus","cavala<Gaulish<Celt.caballos"
"seabream","mojarra<Ar.Hisp.<Arabicmoharra<muḥárraf","dourada<Lat.<Provençalaurata,daurada"
"scorpion","alacrán,escorpión<His.Ar.<Arabic,Lat.al'aqráb<aqrab,scorpīo","escorpião<Lat.scorpīo"
"mercury","azogue,mercurio<His.Ar.<Arabicazzáwq<zāwūq","mercúrio<Lat.Mercurius"
"breastcancer","zaratán,cáncerdemama<Arabic,Lat.saratan,cancermamma","cancro/câncerdamama<Lat.cancermamma"
"robe(bath)","albornoz<Hisp.Ar.<Arabicburnús<burnūs","roupão,robe<Gothic,Fra.rauba,robe"
"hostess,stewardess","azafata<Hisp.Ar<Arabic.assafáṭ<safáṭ","hospedeira(debordo)<Lat.hospitis"
"sewage(system),gutter","alcantarilla<Hisp.Ar.<Arabicalqánṭara<qánṭarah","esgoto,goteira<Lat.guttae"
"jerk","mamarracho<Hisp.Ar<Arabicmuharráǧ<muharriǧ","parvo<Lat.parvulus"
"drunk,drunkard","borracho<Cat<Arabicmarratxa<mirrassa","bêbado<Lat.bibitum"
"tocrimp,tocompress,tolink(verb)","engarzar<Hisp.Ar.<Arabicḡárza<ḡarzah","engrenar,endentar,comprimir<Lat.granum,dens,comprimere"
"toduckout,toskiveoff(verb)","escaquearse<Hisp.Ar.<Arabiciššáh<šāh","escapar<Lat.<Proto-Italicexcappā<,kaput"
"tosave(financial)(verb)","ahorrar<Arabic.alhurrالحر","poupar<Lat.palpō<palpāre"
"corner,edge","rincón<Hisp.Ar.<Arabicrukán<rukn","canto<Celtickant"
"flowerbed,smallgarden,vegetablepatch","arriate<Hisp.Ar.<Arabicarriyáḍ<riyāḍ","canteiro<Celtickant"
"Majorcan","mallorquí,mallorquín<Lat.maiorica+Arabicgentilicsuffix-iyy","Maiorquino<Latmaiorica+-inus"
"Iraqi","iraquí,irakí<Arabicdemonymiraqiyyعراقي","Iraquiano<Lat.+suffixIraqi+-anus"
