"","Productimageattaching","Productrating","Productreviews","Quotes","Reordering","Returns","Searching","Searchasusertypes","Searchcloud","Sitemap,viewable","Socialbookmarking","Tellfriends","Wishlist"
"ApacheOFBiz","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Batavi","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes"
"BigCommerce","Yes","3rdparty","3rdparty","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"DrupalCommerce","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"KonaKart","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"nopCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Magento","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"osCommerce","No","Yes","Yes","No","No","No","Yes","Add-on","No","No","Yes","Yes","No"
"pimcore","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PrestaShop","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3rdparty","3rdparty","Yes","Yes","Yes","Yes"
"SupaDupa","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"WooCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZenCart","Yes","Yes","Yes","Yes","No","Add-on","Yes","3rdparty","No","Yes","Add-on","Yes","Add-on"
"","Productimageattaching","Productrating","Productreviews","Quotes","Reordering","Returns","Searching","Searchasusertypes","Searchcloud","Sitemap,viewable","Socialbookmarking","Tellfriends","Wishlist"
