"Format","Languages"
"split(/separator/,string«,limit»)","Perl5"
"split(separator,string«,limit»)string.split(separator,«limit»)","Raku"
"explode(separator,string«,limit»)","PHP"
"string.split(separator«,limit-1»)","Python"
"string.split(separator«,limit»)","JavaScript,Java,Ruby"
"string:tokens(string,sepchars)","Erlang"
"strings.Split(string,separator)strings.SplitN(string,separator,limit)","Go"
"(string-tokenizestring«charset«start«end»»»)","Scheme(SRFI13)"
"Split(string,sepchars«,limit»)","VB"
"string.Split(sepchars«,limit«,options»»)","VB.NET,C#,F#"
"string-splitseparator«,limit«,options»»","WindowsPowerShell"
"Str.split(Str.regexp_stringseparator)string","OCaml"
"std.string.split(string,separator)","D"
"[stringcomponentsSeparatedByString:separator]","Objective-C(NSString*only)"
"string.componentsSeparatedByString(separator)","Swift(Foundation)"
"TStringList.Delimiter,TStringList.DelimitedText","ObjectPascal"
"StringSplit[string,separator«,limit»]","Mathematica"
"string.split«(sepchars«,limit«,options»»)»","Cobra"
"splitstringseparator","Tcl"
"(separator≠string)⊂stringorseparator(≠⊆⊢)stringinAPL2andDyalogAPL16.0respectively","APL"
"string.split(separator)string.split(limit,separator)","Rust"
