"Name","Organizingprinciple(s)","Outlinebulletingwithindent","Tabbedsections","Sync","WebClipping","PDFannotateandsave","Whiteboard","Ink-peninput","Handwritingrecognition","Spellcheck","Search","Replaceinnote","Printing","Filesave/export/importformats"
"AllMyNotesOrganizer","Tree","Yes","No","Yes","?","No","No","No","No","Yes","Yes","?","Yes","Proprietary,encrypted;import:plaintext,RTF,CSV,images,HTML;exports:plaintext,HTML,RTF,images"
"BasKetNotePads","Tree,tags","?","No","No","?","No","Yes","No","No","Yes","Yes","?","No","Richtext;exportasHTML;importtextfiles"
"CintaNotes","Notebooks,sections,tags","Yes","Yes","Yes","?","No","No","No","No","No","Yes","?","Yes","Proprietary;exporttoUnicodetext,XMLandHTML"
"ConnectedText","Wiki,TreeandCategories","Yes","Yes","No","?","No","No","No","No","Yes","Yes","?","Yes","Proprietary(SQL);Exporttotext,XML,CHMandHTML.Importfromtext,HTML,XMLandRTF"
"DayOne","Chronological,tags","Yes","No","Yes","?","No","No","No","No","Yes","Yes","?","Yes","Markdown(inGUI),XML(datafile);Exportas:pdf,txt,md"
"Evernote","tags,Notebooks,Stacks","Yes","No","Yes","Yes","Yes","No","Partial","Yes","Yes","Yes","Yes","Yes","ImportsandexportsinEvernoteXML."
"Gnote","Notebooks","?","No","Yes","?","Yes","No","?","?","Yes","Yes","?","Yes","NoteXmlFormat,HTML,PDF"
"GoogleKeep","tags,colors","No","No","Yes","Partial","No","Yes","No","?","Partial","Yes","?","No","Proprietary;exporttoGoogleDocandthencetoPDF,Word,ODTetc."
"KeyNoteNF","Notebooks,notesandtree","Yes","Yes","No","?","No","No","No","No","Yes","Yes","?","Yes","Internal:combinationofTXTandRTF;import/export:TXT,RTF,HTML,Treepad"
"Memonic","?","?","No","Yes","?","Yes","No","No","?","?","?","?","Yes","NotesstoredasXML;canattachanyfiletype"
"MicrosoftOneNote","Notebooks,notebooksections,sectiongroups,tags(couldbeappliedtocontentblocks)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Imports:EvernoteXML.Exports:OneNotebinaryformat."
"MyInfo","Notebooks,sections,notes,tree,tags,customattributes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Proprietary,encrypted;import:plaintext,RTF,CSV,MSWord,TreePad,images,webpages;exports:plaintext,HTML,RTF,CSV,MSWord,TreePad"
"MyNotex","?","?","?","Yes","?","No","No","No","No","?","Yes","?","Yes","Sqlitebased,zippedattachments;exporttoHTML;copyingasLaTeX;importtextfiles,OpenOffice.orgdocuments"
"Notes","notes,tree,tags","Yes","?","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Sqlitebased;exporttoPDF"
"Notion","Notebooks,notebooksections,section","Yes","Yes","Yes","Partial","Yes","No","No","No","Yes","Yes","?","Yes","Proprietary;exporttoPDF,HTML,Markdown,CSV"
"Okular","?","?","?","No","?","Yes","No","No","No","?","?","?","Yes","PDF,PS,TIFF,CHM,DjVu,DVI,XPS,ODF,others;exportPDF+notesforsendingtootherOkularusers"
"Open-Sankoré","tree,notebooks","No","No","No","?","Yes","Yes","Yes","No","No","No","?","Yes","Save/export:PDF,IWB,UBZ;Import:PDF,IWB,UBZ,images,imagedirectories"
